"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"103",103,"HEPATIC CARCINOMA","Absent","NA","NA","NA","HUAIER GRANULE","UNK","IV","First Line","Incidence of Recurrence and Metastasis After Hepatectomy","NCT01770431","Radical hepatectomy has been performed for hepatocellular carcinoma, Barcelona clinic liver cancer(BCLC) stage A or B","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01770431","NA","NA","ENSG00000104313","EFO_0000313","ABSENT NA NA","failed drug"
"104",104,"ADVANCED HEPATOCARCINOMA","Absent","NA","NA","NA","PRAVASTATIN, SORAFENIB","UNK, UNK","II","Advanced, First Line, Second Line","Advanced Hepatocarcinoma","NCT01418729","NA","ALV","NA","NA","https://ClinicalTrials.gov/show/NCT01418729","DB00175,DB00398","16759173, 406563","ENSG00000104313","EFO_0009260","ABSENT NA NA","pass"
"105",105,"LIVER CANCER","absent","NA","NA","NA","SORAFENIB TOSYLATE","NA","II","First line","To assess anti-tumor activity of neoadjuvant sorafenib tosylate in tumor samples from patients with resectable hepatocellular carcinoma","NCT01182272","along with surgery","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01182272","NA","406563","ENSG00000104313","MONDO_0002691","ABSENT NA NA","no biomarker"
"106",106,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PEG-BCT-100","NA","I/II","Advanced, Second line","Tumor response","NCT01092091","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01092091","NA","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"107",107,"ADVANCED HEPATOCELLULAR CARCINOMA","AFP","Positive","NA","Protein Expression","SORAFENIB TOSYLATE, VORINOSTAT","NA","I","Advanced, Second line","Determine the appropriate Doses for the combination of sorafenib tosylate and vorinostat appropriate for phase II study in hepatocellular carcinoma (HCC)","NCT01075113","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01075113","NA,DB02546","406563, 5311","ENSG00000081051","EFO_0009260","AFP PROTEIN EXPRESSION POSITIVE","pass"
"108",108,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SUNITINIB MALATE","NA","II,III","First line","Overall survival, Occurrence of severe bleeding or liver failure","NCT01164202","must be done with chemoembolization","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT01164202","NA","6456015","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"109",109,"LIVER CANCER","absent","NA","NA","NA","DOXORUBICIN-ELUTING BEADS, SORAFENIB TOSYLATE","NA","III","First line","To determine whether the addition of sorafenib tosylate to transarterial chemoembolization (TACE) with doxorubicin-eluting beads, compared to TACE alone, prolongs progression-free survival of patients with unresectable hepatocellular carcinoma.","NCT01324076","cannont be removed by surgery, inlcudes cheoembolization","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01324076","NA,NA","NA, 406563","ENSG00000104313","MONDO_0002691","ABSENT NA NA","failed drug,no biomarker"
"110",110,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB TOSYLATE, PRAVASTATIN SODIUM","NA","III","Advanced, Second line","To evaluate the effects of sorafenib tosylate and pravastatin versus sorafenib tosylate alone on overall survival of patients with hepatocellular carcinoma and Child-Pugh Class A cirrhosis.","NCT01075555","must also have cirrhosis","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT01075555","NA,NA","406563, 16759173","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"111",111,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","STA-9090","Hsp90","I","Advanced, Second line","Dose escalation/de-escalation study will be performed in order to determine the Phase 2 dose of STA-9090 given once weekly in patients with advanced hepatocellular carcinoma. The dose limiting toxicities will be determined at each dose level.","NCT01665937","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01665937","NA","135564985","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"112",112,"ADVANCED OR LOCALLY METASTATIC HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","AXITINIB","NA","II","Advanced, Second line","Overall Survival (OS","NCT01210495","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01210495","DB06626","6450551","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"113",113,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","188RE-SSS LIPIODOL","NA","I","Advanded, First line","Maximal tolerated dose","NCT01126463","no ressection/transplant","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT01126463","NA","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","failed drug,no biomarker"
"114",114,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB, CS-1008","NA","II","Advanded, First line","time to progression (TTP) for chemotherapy naive subjects with advanced hepatocellular carcinoma (HCC)","NCT01033240","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01033240","DB00398,NA","406563, 3921152","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"115",115,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","APATINIB","NA","II","Advanced, Second line","TTP (Time To Progression)","NCT01192971","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT01192971","DB14765","45139106","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"116",116,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","RAMUCIRUMAB DP","NA","III","Second line","Overall Survival (OS)","NCT01140347","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01140347","NA","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","failed drug,no biomarker"
"117",117,"ADVANCED OR PRIMARY HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SODIUM BUTYRATE","NA","II","Advanded&non-advanced, First&Second line","Evaluating Tumor Response Rate","NCT01308645","(I believe sb (which is the only phrase listed in the trial) means sodium butyrate : https://www.ncbi.nlm.nih.gov/pubmed/9626359 )","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01308645","NA","5222465","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"118",118,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SILYBIN","NA","I","Advanced, First&Second line","The maximum tolerated dose of siliphos in patients with advanced hepatocellular carcinoma ","NCT01129570","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT01129570","NA","31553","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"119",119,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","DOXORUBICIN, SORAFENIB","NA","II","Advanded, First line","Time to progression","NCT01272557","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT01272557","DB00997,DB00398","443939, 406563","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"120",120,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","DOXORUBICIN","NA","I/II","First line","Histopathological correlation with surgically resected tumor","NCT01116635","docorubicin is loaded into superabsorbent polymer microspheres, must be surgically resectable","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT01116635","DB00997","443939","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"121",121,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB","NA","IV","Advanced, First","Total (Cumulative) Dose Delivery of Sorafenib, Cumulative Dose of Sorafenib","NCT01203787","different dosing of Sorafenib, requires unresectable and/or metastatic","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT01203787","DB00398","406563","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"122",122,"ADVANCED OR METASTAIC HEPATOCELLUAR CARCINOMA","absent","NA","NA","NA","BAY86-9766 MEK INHIBITOR, SORAFENIB","MEK, UNK","II","Advanced, First line","Disease Control Rate (DCR)","NCT01204177","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT01204177","NA,DB00398","NA, 406563","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"123",123,"ADVANCED LIVER CANCER","absent","NA","NA","NA","EVEROLIMUS","NA","III","Advanced, Second line","Overall Survival (OS)","NCT01035229","advanced HCC whose disease progressed while on or after sorafenib treatment or who are intolerant to sorafenib.","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01035229","DB01590","6442177","ENSG00000104313","MONDO_0002691","ABSENT NA NA","no biomarker"
"124",124,"UNRESECTABLE OR METASTATIC HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","TEMSIROLIMUS","mTOR","II","Advanced, Second line","Disease Progression","NCT01567930","must have received exactly one prior systemic therapy","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01567930","DB06287","6918289","ENSG00000104313","EFO_0000702","ABSENT NA NA","no biomarker"
"125",125,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB, PRAVASTATIN","NA","III","Advanced, First&Second line","determination of the tumor according to the evaluation criteria of Response Evaluation Criteria in Solid Tumors","NCT01903694","Palliative Treatment of Child-Pugh A Hepatocellular Carcinoma, does not specify the requirement to include?exclude prior treatment","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01903694","DB00398,DB00175","406563, 16759173","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"126",126,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","THALIDOMINE, TEGAFUR-URACIL","VEGF/bFGF, UNK","II","Second line","tumor recurrence","NCT02447679","to Decrease Hepatocellular Carcinoma Recurrence","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT02447679","NA,DB09327","5426, 104747","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"127",127,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB, CISPLATIN/FLUOROURACIL","NA","III","Advanced, First Line, Second line","Overall survival","NCT01214343","Does not state whether or not prior chemotherapy is needed or excluded","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01214343","DB00398,NA","406563, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"128",128,"PRIMARY ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB, ZOLEDRONIC ACID","NA","II","Advanced, First&Second line","numbers of adverse events","NCT01259193","only requirement for other treatment(s) ""Concomitant anti-cancer therapy (except immunotherapy and Chinese traditional treatment"". Must be unresectable","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01259193","DB00398,DB00399","406563, 68740","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"129",129,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB","NA","II","First line","Progression Free Survival, Overall Survival","NCT01217034","must be done with Transcatheter Arterial Chemoembolization (TACE)","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01217034","DB00398","406563","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"130",130,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB, VT-122","UNK, COX-2/beta-adrenergic receptor","II","Advanced, First line","failure free survival","NCT01265576","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01265576","DB00398,NA","406563, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"131",131,"ADVANCED HEPATOMA","absent","NA","NA","NA","CINOBUFACIN","NA","II","Advanced, First line, Second line","The evaluation of the patient's respondence for the therapy is carried out every phase, according to RECIST:CR,PR,SD and PD","NCT01236690","Combining the Arterial Embolotherapy, never states if prior treatment is an exclusion or a criteria","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT01236690","NA","NA","ENSG00000104313","EFO_0005856","ABSENT NA NA","failed drug,no biomarker"
"132",132,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","OXALIPLATIN, FLUOROURACIL/LEUCOVORIN","UNK, UNK","III","Advanced, First line","Overall survival","NCT03164382","done in the FOLFOX regimen","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03164382","DB00526,NA","5310940, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"133",133,"METASTATIC HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SORAFENIB, HYDROXYCHLOROQUINE","UNK, UNK","II","Advanced, First&Second line","Time to tumor progression evaluated via tumor imaging","NCT03037437","experimental arms depending upon progression on sorafenib","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03037437","DB00398,DB01611","406563, 12947","ENSG00000104313","EFO_0000702","ABSENT NA NA","no biomarker"
"134",134,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","NIVOLUMAB","UNK","III","First line","Recurrence-free Survival (RFS)","NCT03383458","needs to have had curative resection or ablation","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03383458","DB09035","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"135",135,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","MECLIZINE","androstane receptor","I","First line","Change in mRNA levels","NCT03253289","Patients must be candidate for surgical resection, ablation, and TACE.","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03253289","DB00737","64713","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"136",136,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","DURVALUMAB, TREMELIMUMAB","UNK, UNK","III","Advanced, First line","Overall Survival (OS)","NCT03298451","had different experimental arms with varying drugs","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03298451","DB11714,DB11771","NA, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"137",137,"METASTATIC HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","MILCICLIB MALEATE","UNK","II","Advanced, Second line","Overall Safety Profile","NCT03109886","second line, as long as no other experimental/immunotherapy agents have been used","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03109886","NA","46937352","ENSG00000104313","EFO_0000702","ABSENT NA NA","no biomarker"
"138",138,"PRIMARY HEPATOCELLUAR CARCINOMA","absent","NA","NA","NA","S-ADENOSYL METHIONINE","UNK","UNK","First line","Time to tumor recurrence","NCT03178929","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03178929","NA","34756","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"139",139,"LIVER CANCER","absent","NA","NA","NA","NIVOLUMAB","UNK","I","First line","Number of participants with treatment-related adverse events as assessed by CTCAE v4.0","NCT03143270","must be done with Drug Eluting Bead Transarterial Chemoembolization","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03143270","DB09035","NA","ENSG00000104313","MONDO_0002691","ABSENT NA NA","no biomarker"
"140",140,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","CELEBREX, METFORMIN","UNK, UNK","III","First line","Number of participants with tumor recurrence","NCT03184493","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03184493","NA,DB00331","2662, 14219","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"141",141,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","LENVATINIB, PEMBROLIZUMAB","UNK, UNK","I","Advanced, Second line","Number of participants with any serious adverse event and number of participants with any non-serious adverse event., Dose-limiting toxicity (DLT) of lenvatinib and pembrolizumab during Cycle 1, Expansion part: Objective response rate (ORR) by mRECIST and RECIST 1.1 based on IIR analysis , Expansion part: Duration of response (DOR) by mRECIST and RECIST 1.1 based on IIR analysis","NCT03006926","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03006926","DB09078,DB09037","11237762, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"142",142,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","ATORVASTATIN","UNK","IV","First line","3-year cumulative incidence of recurrent HCC between the intervention group and control counterpart","NCT03024684","after recetion/ablation","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03024684","DB01076","60822","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"143",143,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","NIVOLUMAB, IPILIMUMAB","UNK, UNK","I","First &Second line","Number of participants with adverse events","NCT03203304","must include radiotherapy, states prior therapy is allowed but not required","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03203304","DB09035,DB06186","NA, NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"144",144,"LIVER CANCER","absent","NA","NA","NA","CPG DNA","UNK","I","First line","survival time, metastasis free survival time","NCT03235167","Must be done with TACE therapy","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03235167","NA","NA","ENSG00000104313","MONDO_0002691","ABSENT NA NA","failed drug,no biomarker"
"145",145,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PD-1 IMMUNE CHECK INHIBITOR","PD1","II","Advanced, First&Second line","Response rate","NCT03259867","PD1 checkpoint inhibitor (either nivolumab or pembrolizumab). Done with TACE","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03259867","NA","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"146",146,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","CAPECITABINE, APATINIB","UNK, UNK","II","Advanced, Second line","time to progression","NCT03114085","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03114085","DB01101,DB14765","60953, 45139106","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"147",147,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","SF1126, NIVOLUMAB","PI3K/BRD4, PD1","I","Advanced, Second line","Rate of dose limiting toxicities ","NCT03059147","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03059147","DB05210,DB09035","66577114, NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"148",148,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","ICARITIN","ERa36","III","Advanced, First line","Overall survival (OS)","NCT03236636","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03236636","DB12672","5318980","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"149",149,"BILE DUCT CARCINOMA","absent","NA","NA","NA","SHR-1210, APATINIB","UNK, UNK","II","Advanced, First line","The safety and tolerability","NCT03092895","Treated with the FOLFOX4 and GEMOX regimen concurently","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03092895","NA,DB14765","NA, 45139106","ENSG00000104313","EFO_0005540","ABSENT NA NA","failed drug,no biomarker"
"150",150,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","GALUNISERTIB","UNK","I","Advanced, Second line","Safety based upon standard laboratory and clinical adverse event monitoring","NCT02906397","must be combined with SBRT","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02906397","DB11911","10090485","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"151",151,"METASTATIC HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","ASLAN001","EGFR/HER2/HER4","I","Advanced, Second line","Definition of MTD (maximum tolerable dose)","NCT03499626","had two different phase cohorts","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03499626","NA","42642648","ENSG00000104313","EFO_0000702","ABSENT NA NA","no biomarker"
"152",152,"METASTATIC HEPATOCELLULAR CARCINOMA","HER3","Positive","NA","Protein Expression","ASLAN001","EGFR/HER2/HER4","I","Advanced, Second line","Definition of MTD (maximum tolerable dose)","NCT03499626","had two different phase cohorts","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03499626","NA","42642648","ENSG00000065361","EFO_0000702","HER3 PROTEIN EXPRESSION POSITIVE","pass"
"153",153,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","NIVOLUMAB","PD1","II","First line","Rate and type of adverse events, liver decompensation, and transient and permanent drug discontinuations due to toxicity","NCT03380130","Must be done with SIRT","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03380130","DB09035","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"154",154,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","AVELUMAB","UNK","II","Advanced, Second line","response rate ","NCT03389126","sorafeib had to fail, or pt was intolerant","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03389126","DB11945","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"155",155,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PEMBROLIZUMAB","UNK","III","Advanced, Second line","Overall Survival (OS)","NCT03062358","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03062358","DB09037","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"156",156,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PDR001, SORAFENIB","UNK, UNK","I","Advanced, First line","Number of participants with Adverse Events (AEs) as a measure of safety and tolerability","NCT02988440","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02988440","NA,DB00398","NA, 406563","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"157",157,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","BTG-002814","UNK","I","First line","Adverse events (AEs) related to treatment with BTG-002814 using the National Cancer Institute- Common Terminology Criteria for Adverse Events- Version 4.0 (NCI-CTCAE v4.0), Adverse events (AEs) related to treatment with BTG-002814 using the National Cancer Institute- Common Terminology Criteria for Adverse Events- Version 4.0 (NCI-CTCAE v4.0), Concentration of vandetanib and N-desmethyl vandetanib in resected liver tissue following treatment with BTG-002814","NCT03291379","must be resectable","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03291379","NA","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","failed drug,no biomarker"
"158",158,"UNRESECTABLE HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","BGB-A317","PD1","III","First line","Overall Survival (OS)","NCT03412773","had primary objectives for substudies that were excluded","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03412773","NA","NA","ENSG00000104313","EFO_0000707","ABSENT NA NA","failed drug,no biomarker"
"159",159,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PEMBROLIZUMAB","UNK","II","Advanced, Second line","Overall response rate","NCT03163992","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03163992","DB09037","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"160",160,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","PEMBROLIZUMAB","UNK","II","First line","One-year recurrence-free survival rate","NCT03337841","Hepatocellular carcinoma for which radical cure is possible by resection or RFA.","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03337841","DB09037","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"161",161,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","BRIVANIB","UNK","II","Advanced, Second line","Disease control rate (DCR), Time to Progress (TTP)","NCT03516071","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03516071","DB11958","11234052","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"162",162,"RESECTABLE LIVER CANCER","absent","NA","NA","NA","IPILIMUMAB, NIVOLUMAB","CTLA4, UNK","II","First &Second line","Incidence of adverse events","NCT03222076","Patient can have had prior treatment for HCC including prior surgery, radiation therapy, local-regional therapy (ablation or arterial directed therapies), and systemic therapy including sorafenib or chemotherapy (but not anti-PD-1 or anti-CTLA-4 therapy)","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03222076","DB06186,DB09035","NA, NA","ENSG00000104313","MONDO_0002691","ABSENT NA NA","no biomarker"
"163",163,"INTERMEDIATE STAGE HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","TIRAPAZAMINE","UNK","II","First line","Progression Free Survival ","NCT03145558","TATE vs TACE","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03145558","DB04858","135413511","ENSG00000104313","EFO_0000707","ABSENT NA NA","no biomarker"
"164",164,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","KN035","UNK","I","Advanced, Second line","Incidence of dose limiting toxicities (DLTs) in dose escalation study, Percentage of participants with adverse events (AEs), serious adverse events and AEs of special interest, ORR of HCC patients in dose expansion study","NCT03101488","included other cancers, but specifcally seperated HCC","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03101488","NA","NA","ENSG00000104313","EFO_0009260","ABSENT NA NA","failed drug,no biomarker"
"165",165,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","APATINIB","VEGFR2","II","First line","Recurrence-free survival","NCT03261791","must have underwent resection, and have a PVTT","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03261791","DB14765","45139106","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"166",166,"ADVANCED HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","ATORVASTATIN","UNK","II","Advanced, First line","Overall survival","NCT03275376","taken with standard therapy sorafenib","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03275376","DB01076","60822","ENSG00000104313","EFO_0009260","ABSENT NA NA","no biomarker"
"167",167,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","CISPLATIN, DOXORUBICIN","UNK, UNK","III","First line","Event-free survival (EFS), Response in HCC is defined as complete (CR) or partial (PR) response according to RECIST version 1.1 criteria","NCT03017326","separates cohorts resected (experimental) and unresected (comparator)","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03017326","DB00515,DB00997","2767, 443939","ENSG00000104313","EFO_0000182","ABSENT NA NA","no biomarker"
"168",168,"HEPATOBLASTOMA","absent","NA","NA","NA","CISPLATIN","UNK","III","First line","Event-free survival (EFS)","NCT03017326","separates cohorts by very low risk (experimental) and low/intermediate risk","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03017326","DB00515","2767","ENSG00000104313","EFO_1000292","ABSENT NA NA","no biomarker"
"169",169,"HEPATOCELLULAR CARCINOMA","absent","NA","NA","NA","NEO-MASCT","UNK","II","First line","Disease free survival, Immune response rate","NCT03067493","combined with RFA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03067493","NA","NA","ENSG00000104313","EFO_0000182","ABSENT NA NA","failed drug,no biomarker"
"170",170,"ADVANCED HEPATOCELLULAR CARCINOMA","PD1","Positive","NA","Protein Expression","APL-501","PD1","I","Advanced, Second line","Number of participants with treatment related adverse events as assessed by Common Terminology Criteria for Adverse Events (CTCAE v4.03) in patients with advance solid tumors","NCT03053466","included other cancers, but specifcally seperated HCC with a biomarker","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03053466","NA","NA","ENSG00000145335","EFO_0009260","PD1 PROTEIN EXPRESSION POSITIVE","failed drug"
