"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"113",113,"BREAST CANCER STAGE (STAGE II-III)","ERBB2, ESR1","Negative, Positive","AND","protein expression, protein expression","PALBOCICLIB","CDK4/CDK6","II","Advanced first line, First line","distant recurrence-free interval (D-RFI) rate","NCT03609047","has comparator with different treatments","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03609047","DB09073","11478676","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"114",114,"BREAST CANCER FEMALE, MALIGNANT NEOPLASM OF BREAST","ERBB2, ESR1, PGR","Negative, positive, positive","AND, AND/OR","protein expression, protein expression, protein expression","ENDOCRINE THERAPY","Hormone Receptors","III","First line","Pre-operative Endocrine Prognostic Index (PEPI Score) , EndoPredict™ EPclin Score","NCT03969121","has comparator with different treatments","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03969121","NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","failed drug"
"115",115,"EARLY-STAGE BREAST CANCER","ERBB2, ESR1, PGR, PDl1","Positive, positive, positive, positve","AND, AND, AND","protein expression & amplification, protein expression, protein expression, protein expression","DOCETAXEL, CARBOPLATIN, TRASTUZUMAB, PERTUZUMAB, EPIRUBICIN, CYCLOPHOSPHAMIDE, ATEZOLIZUMAB, TRASTUZUMAB EMTANSINE","VEGF/microtubule, DNA/Protein, ERBB2, ERBB2,  DNA/DNA-topoisomerase II complex, DNA, CD274, microtubules","II","First line","Rate of pathological objective response to primary medical treatment","NCT03894007","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03894007","DB01248,DB00958,DB00072,DB06366,DB00445,DB00531,DB11595,DB05773","148124, 56840877, 3001322, NA, 65348, 2907, NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000120217","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE AND PDL1 PROTEIN EXPRESSION POSITVE","pass"
"116",116,"BREAST CANCER METASTATIC, BREAST CANCER","ERBB2","Negative","NA","protein expression","OLAPARIB, VORINOSTAT","PARP, HDAC","I","Advanced, Second line","MTD ","NCT03742245","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03742245","DB09074,DB02546","23725625, 5311","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"117",117,"BREAST NEOPLASMS","ERBB2, ESR1, PR","Negative, positive, positive","AND, AND/OR","protein expression, protein expression, protein expression","ENDOCRINE THERAPY","Hormone receptors","II","First line","Percentage Change From Pre-treatment to Post-treatment in Ki-67 Labelling Index","NCT04023292","must have operable breast cancer, drugs used depended upon policy for specific tumor","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04023292","NA","NA","ENSG00000141736, ENSG00000091831, ENSG00000134551","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","failed drug"
"118",118,"METASTATIC BREAST CANCER, ERBB2 POSITIVE BREAST CARCINOMA","ERBB2, ESR1, PR","Positive, negativie/positive, negative/positive","AND/OR, AND/OR","protein expression & amplification, protein expression, protein expression","NIRAPARIB, TRASTUZUMAB","PARP1/PARP2, ERBB2","I/II","Advanced, Second line","Phase 1: Dose-limiting toxicity (DLT), Phase 2: Objective Response Rate","NCT03368729","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03368729","DB11793,DB00072","24958200, 3001322","ENSG00000141736, ENSG00000091831, ENSG00000134551","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION NEGATIVIE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","pass"
"119",119,"INVASIVE BREAST CARCINOMA","ERBB2","Positve","NA","protein expression & amplification","DOCETAXEL, CARBOPLATIN, TRASTUZUMAB, PERTUZUMAB","VEGF/microtuble, DNA/Protein, ERBB2, ERBB2","II","First line","pathologic complete response","NCT04094896","has comparator with different treatments","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04094896","DB01248,DB00958,DB00072,DB06366","148124, 56840877, 3001322, NA","ENSG00000141736","EFO_1000307","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITVE","pass"
"120",120,"ADVANCED BREAST CANCER","NA","NA","NA","NA","TALAZOPARIB, AVELUMAB","PARP, PDL1","I/II","Advanced, Second line","The number of participants with treatment-related adverse events","NCT03964532","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03964532","DB11760,DB11945","135565082, NA","ENSG00000183023","MONDO_0007254","NA NA NA","pass"
"121",121,"BREAST CANCER","ERBB2, ESR1","Negative, Positive","AND","protein expression, protein expression","ARV-471","ESR1 ligand","I","Advanced, Second line","Incidence of Dose Limiting Toxicities, Number of Patients with Adverse Events as a measure of safety and tolerability , ncidence of laboratory abnormalities as a measure of safety and tolerability","NCT04072952","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04072952","NA","NA","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","failed drug"
"122",122,"BREAST CANCER","ERBB2, ESR1, PGR","Negative, positive, negative/positive","AND, AND","protein expression, protein expression, protein expression","NIVOLUMAB, PACLITAXEL, ANTHRACYCLINE, CYCLOPHOSPHAMIDE, ENDOCRINE THERAPY","PD1, Bcl2, DNA/DNA-topoisomerase II complex, DNA,  hormone receptors","III","Advanced, First line","Pathological Complete response (pCR) Pathological Complete response (pCR), Event-Free Survival (EFS)","NCT04109066","has comparator with different treatments","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04109066","DB09035,DB01229,NA,DB00531,NA","NA, 36314, NA, 2907, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","pass"
"123",123,"BREAST CANCER","ERBB2","Positive","NA","protein expression","KN035, TRASTUZUMAB, DOCETAXEL","PDL1,ERBB2, VEGF/microtuble","II","First line","To estimate the overall response rate (CR + PR) of KN035 in combination with trastuzumab and docetaxel in patients with recurrent or metastatic ERBB2-positive breast cancer.","NCT04034823","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04034823","NA,DB00072,DB01248","NA, 3001322, 148124","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","failed drug"
"124",124,"TNBC BREAST CANCER  (STAGE I-III)","ERBB2, ESR1, PGR","negative, negative, negative","AND, AND","protein expression, protein expression, protein expression","RUCAPARIB","PDL1","I","Non-advanced and advanced, First line","Measurement of expression of PD-L1 by IHC via core biopsy","NCT03911453","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03911453","DB12332","9931953","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"125",125,"BREAST CANCER METASTATIC, BREAST CANCER","ESR1, PGR","Positive, Positive","AND/OR","protein expression, protein expression","GMI-1359","CXCR4/E-selectin/sialyl-Lewis x antigen","I","Non-advanced and advanced, First line","Occurrences of dose-limiting toxicities (DLT) including protocol-defined adverse events (AEs)/serious adverse events (SAEs), and/or laboratory abnormalities will be assessed in order to determine recommended phase II dose (Safety and Tolerability)","NCT04197999","Target found: https://www.ncbi.nlm.nih.gov/pubmed/31877673. However, it is a paper related to prostate cancer. Full paper includes sources that related to hormone dependent breast cancer, that denote the sialyl-lewis x antigen as a target of the drug, however, doesnt mention GMI-1359 directly.","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04197999","NA","NA","ENSG00000091831, ENSG00000082175","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","failed drug"
"126",126,"BREAST CANCER","ESR1, ERBB2","Positive, Positive","AND","protein expression, protein expression/protein expression & amplification","PALBOCICLIB, LETROZOLE, TRASTUZUMAB, PERTUZUMAB","CDK4/CDK6, aromatase, ERBB2, ERBB2","II","First line","Pathological complete response (pCR)","NCT03644186","has comparator with different treatments","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03644186","DB09073,DB01006,DB00072,DB06366","11478676, 3902, 3001322, NA","ENSG00000091831, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION/PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","pass"
"127",127,"BREAST CANCER","ERBB2, ESR1, PGR","Positive, negative, negative","AND, AND","protein expression, protein expression, protein expression","VRP-ERBB2, PEMBROLIZUMAB","ERBB2 RNA, PD1","II","First line","Number of Tumor infiltrating Lymphocytes and ERBB2 specific antibodies","NCT03632941","in combination with first line treatment","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03632941","NA,DB09037","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"128",128,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, negative/positive, negative/positive","AND, AND/OR","protein expression, protein expression, protein expression","ERIBULIN","Tubulin","II","Advanced, Second line","Efficacy of eribulin for treatment of ERBB2-negative BCBM","NCT03637868","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03637868","DB08871","17755248","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","pass"
"129",129,"ADVANCED BREAST CANCER","ERBB2, PGR,ESR1","Negative, positive, positive","AND, AND/OR","protein expression, protein expression, protein expression","RIBOCICLIB, LETROZOLE OR ANASTROZOLE, GOSERELIN","CDK4/CDK6, aromatase OR aromatase, GnRH receptors","II","Advanced, Second line","Overall Response Rate (ORR)","NCT03822468","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03822468","DB11730,NA,DB00014","44631912, NA, 5311128","ENSG00000141736, ENSG00000082175, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"130",130,"TNBC BREAST CANCER","ERBB2, ESR1, PGR","Negative, negative, negative","AND, AND","protein expression, protein expression, protein expression","IPILIMUMAB, NIVOLUMAB","CTLA4, PD1","II","First line","Event-Free Survival","NCT03546686","Expermential group requires surgery, cyroablation.","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03546686","DB06186,DB09035","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"131",131,"BREAST CANCER","NA","NA","NA","NA","METFORMIN HYDROCHLORIDE, DOXORUBICIN, CYCLOPHOSPHAMIDE, PACLITAXEL","NADPH:ubiquinone oxidoreductase, DNA/DNA-topoisomerase II complex, DNA, Bcl2","II","First line","Evaluation of the effect on tumor proliferation as measured by Ki-67 immunohistochemical (IHC) assessment , Evaluation of the effect on tumor apoptosis as measured by Caspase-3, Chemotherapy toxicities","NCT04170465","They list their biomarkers as: i. Ki-67 ii. Caspase-3 iii. TNF-α","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04170465","NA,DB00997,DB00531,DB01229","14219, 443939, 2907, 36314","ENSG00000183023","MONDO_0007254","NA NA NA","pass"
"132",132,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, positive, positive","AND, AND/OR","protein expression, protein expression, protein expression","PALBOCICLIB, EXEMESTANE, GOSERELIN","CDK4/CDK6, aromatase, GnRH receptors","II","Advanced, First Line","Progression free survival","NCT02917005","has comparator with different treatments","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT02917005","DB09073,DB00990,DB00014","11478676, 60198, 5311128","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"133",133,"LOCALLY-RECURRENT OR METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, positive, positive","AND, AND/OR","protein expression, protein expression, protein expression","ERIBULIN","Tubulin","II","Advanced, Second line","The overall response rate (ORR)","NCT03795012","has comparator with different treatments, States: ""no prior line of chemotherapy in the metastatic setting"", but requires hormone therapy in the metastatic setting","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03795012","DB08871","17755248","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"134",134,"NON-METASTATIC PRIMARY LUMINAL BREAST CANCER (STAGE II-III)","ERBB2, ESR1, PGR","Negative, Positive, negative/positive","AND, AND","protein expression, protein expression, protein expression","RIBOCICLIB, LETROZOLE","UNK","II","Non-advanced and advanced, First line","Difference in complete cell cycle arrest","NCT03283384","has comparator with different treatments, States: ""no prior line of chemotherapy in the metastatic setting"", but requires hormone therapy in the metastatic setting","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03283384","DB11730,DB01006","44631912, 3902","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","pass"
"135",135,"METASTATIC BREAST CANCER","ERBB2, ESR1","Negative, negative/positive","AND","protein expression, protein expression","ERIBULIN, NIVOLUMAB","UNK","I/II","Advanced, Second line","6 months progression-free survival (PFS) rate","NCT04061863","different experiments, but they use the same drugs. Dependent upon ERBB2 status","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04061863","DB08871,DB09035","17755248, NA","ENSG00000141736, ENSG00000091831","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE","pass"
"136",136,"BREAST CANCER","ERBB2, ESR1, PGR","Positive, negative/positive, negative/positive","AND/OR, AND/OR","protein expression & amplification, protein expression, protein expression","PEMBROLIZUMAB, TRASTUZUMAB BIOSIMILAR ABP 980, PERTUZUMAB","UNK","II","First line","Evaluation of the pCR rate of the combination therapy consisting of pembrolizumab in combination with the dual anti-ERBB2 blockade trastuzumab biosimilar ABP 980 and pertuzumab in patients with ERBB2-enriched early breast cancer assessed by PAM50 testing","NCT03988036","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03988036","DB09037,NA,DB06366","NA, NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","pass"
"137",137,"TNBC BREAST CANCER","ERBB2, ESR1, PGR","Negative, negative, negative","AND, AND","protein expression, protein expression, protein expression","CFI-400945, DURVALUMAB","PLK4, PDl1","II","Advanced, Second line","Objective Response Rate of CFI-400945 given with durvalumab using RECIST","NCT04176848","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04176848","NA,DB11714","58486178, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"138",138,"PREMENOPAUSAL OR PERIMENOPAUSAL LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, positive, positive","AND, AND/OR","protein expression, protein expression, protein expression","RIBOCICLIB, LETROZOLE OR ANASTROZOLE, GOSERELIN","UNK","II","Advanced, First line","Progression Free Survival","NCT03839823","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03839823","DB11730,NA,DB00014","44631912, NA, 5311128","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"139",139,"RECURRENT OR METASTATIC BREAST CANCER","ERBB2, ESR1","Negative, Positive","AND","protein expression, protein expression","NAB-PACLITAXEL","UNK","II","Advanced, First line","Objective Response Rate (ORR)","NCT04194684","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04194684","NA","36314","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"140",140,"TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, negative, negative","AND, AND","Protein expression, protein expression, protein expression","CHIDAMIDE, CISPLATIN","UNK","II","Advanced, Second line","Overall response rate (ORR","NCT04192903","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04192903","DB06334,DB00515","9800555, 2767","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"141",141,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Positive, Positive, Positive","AND, AND/OR","Protein expression&amplification, protein expression, protein expression","PYROTINIB, FULVESTRANT","TK, UNK","II","Advanced, Second line","Progression Free Surviva","NCT04034589","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04034589","DB14993,DB00947","51039030, 104741","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"142",142,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1","Negative, Positive","AND","protein expression, protein expression","LASOFOXIFENE","ER Receptor","II","Advanced, Second line","Progression-Free Survival (PFS)","NCT03781063","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03781063","DB06202","216416","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"143",143,"LOCALLY ADVANCED OR METASTATIC BREAST CANCER","ERBB2, ESR1","Negative, Positive","AND","protein expression, protein expression","439859","UNK","II","Advanced, Second line","Progression free survival (PFS)","NCT04059484","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04059484","NA","NA","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","failed drug"
"144",144,"RECURRENT OR METASTATIC BREAST CANCER","BRCA1,BRCA2, ERBB2","Positive, Positive, Positive","AND/OR, AND","mutation, mutation, protein expression&amplification","OLAPARIB, TRASTUZUMAB","UNK","II","Advanced, Second line","Overall response rate (ORR), Progression-free survival","NCT03931551","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03931551","DB09074,DB00072","23725625, 3001322","ENSG00000012048, ENSG00000139618, ENSG00000141736","MONDO_0007254","BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE AND ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE","pass"
"145",145,"METASTATIC BREAST CANCER","ERBB2","Positive","NA","protein expression&amplification","PYROTINIB COMBINE, SHR6390","TK,CDK4/CDK6","II","Advanced, First&Second line","Objective Response Rate","NCT03993964","only requirement is 4 weeks of of last chemo treatmen. First line or second line","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03993964","NA,NA","NA, NA","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE","failed drug"
"146",146,"OCALLY RECURRENT OR METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein expression, protein expression, protein expression","SHR6390, FULVESTRANT","UNK, UNK","III","Advanced, Second line","Investigator-assessed PFS","NCT03927456","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03927456","NA,DB00947","NA, 104741","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","failed drug"
"147",147,"RECURRENT OR METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","protein expression, protein expression, protein expression","SHR6390, ENDROCRINE THERAPY","UNK, UNK","III","Advanced, First line","Investigator-assessed PFS","NCT03966898","Endocrine therapy can be either Letrozole or Anastrozole Tablets","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03966898","NA,NA","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","failed drug"
"148",148,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein expression, protein expression, protein expression","ABEMACICLIB, FULVESTRANT","UNK, UNK","IV","Advanced, Second line","Objective Response Rate","NCT04031885","post-menopausal status","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04031885","DB12001,DB00947","46220502, 104741","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"149",149,"ADVANCED BREAST CANCER","ERBB2","Positive","NA","protein expression","KN026","UNK","I","Advanced, First&Second line","The proportion of patients experiencing dose limiting toxicities","NCT03847168","also includes gastric cancer, but doesn’t require it","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03847168","NA","NA","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","failed drug"
"150",150,"STAGE IV METASTATIC BREAST CANCER","ESR1, PGR","Positive, Positive","AND/OR","protein expression, protein expression","PEMBROLIZUMAB","UNK","II","Advanced, Second line","Change of objective response rate(ORR)","NCT03492918","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03492918","DB09037","NA","ENSG00000091831, ENSG00000082175","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"151",151,"METASTATIC BREAST CANCER","NA","NA","NA","NA","GOSERELIN","UNK","III","Advanced, Second line","To evaluate and compare the pharmacodynamics","NCT03936933","premenopausal ","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03936933","DB00014","5311128","ENSG00000183023","EFO_1000984","NA NA NA","pass"
"152",152,"METASTATIC BREAST CANCER","ERBB2","Positive","NA","Protein expression","PYROTINIB, VINORELBINE","UNK","II","Advanced, Second line","maximum-tolerated dose","NCT03997539","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03997539","DB14993,DB00361","51039030, 5311497","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"153",153,"RECURRENT BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein expression, protein expression, protein expression","PALBOCICLIB, ENDOCRINE THERAPY","CDK4/CDK6, Hormone receptors","III","Advanced, First line","Duration of invasive disease free survival of all randomized participants","NCT03820830"," receive a drug called an LHRH (luteinizing hormone-releasing hormone) agonist by injection.","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03820830","DB09073,NA","11478676, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"154",154,"BREAST CANCER","ERBB2, ESR1","negative, positive","AND","Protein expression, protein expression","DURVALUMAB, ENDOCRINE THERAPY","UNK, aromatase inhibitor","II","First Line","Rate of Modified Preoperative Endocrine Prognostic Index ","NCT03874325","Endocrine therapy can be either Anastrozole or Letrozole or Exemestane (aromatase inhibitor)","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03874325","DB11714,NA","NA, NA","ENSG00000141736, ENSG00000091831","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"155",155,"TRIPLE NEGATIVE BREAST CANCER","BRCA1,BRCA2, ERBB2, ESR1, PGR","Positive, positive, negative, negative, negative","AND/OR, AND, AND, AND","Mutation, mutation, protein expression, protein expression, protein expression","LYNPARZA","PARP","I","First Line","Measure DNA damage response to PARP inhibition, Characterize changes in ADP ribosylation to PARP inhibition, Correlate DNA damage response to ADP ribosylated proteome","NCT04041128","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04041128","NA","23725625","ENSG00000012048, ENSG00000139618, ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"156",156,"LOCALLY ADVANCED OR METASTATIC TRIPLE NEGATIVEBREAST CANCER","ERBB2, ESR1, PGR","Negative, negative, negative","AND, AND","Protein expression, protein expression, protein expression","KN046, NAB-PACLITAXEL","UNK, UNK","I/II","Advanced, Second line","IRC assessed objective response, IRC assessed duration of response","NCT03872791","Had two different arms","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03872791","NA,NA","NA, 36314","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
