"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","Biomarker.logical.conditions","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"92","NA","NA","HEPATOCELLULAR CARCINOMA","X91348","RNA/expression",NA,"NA",31349749,"The expression level and clinical significance of lncRNA X91348 in hepatocellular carcinoma.","X91348 expression was decreased in patients with HCC compared with healthy controls","https://www.ncbi.nlm.nih.gov/pubmed/31349749","Low_favourable",NA,"NA","56956252","ENSG00000237517","EFO_0000182","X91348 RNA/EXPRESSION NA","pass"
"93","NA","NA","INTRAHEPATIC CHOLANGIOCARCINOMA","CHD1L","expression",NA,"NA",31173252,"CHD1L is associated with poor survival and promotes the proliferation and metastasis of intrahepatic cholangiocarcinoma.","miRNA-122 and miRNA-224 could serve as biomarkers for the diagnosis of HCC.","https://www.ncbi.nlm.nih.gov/pubmed/31173252","High_Unfavourable",NA,"NA","56956252","ENSG00000131778","EFO_1001961","CHD1L EXPRESSION NA","pass"
"94","NA","NA","HEPATOCELLULAR CARCINOMA","miR-484,TUSC5","RNA,expression",NA,"NA",31157375,"Dysregulation of miR484-TUSC5 axis takes part in the progression of hepatocellular carcinoma."," miR-484/TUSC5 is potential diagnostic biomarkers and therapy targets for HCC. We demonstrated that miR-484 was significantly up-regulated in HCC, while TUSC5 was down-regulated.","https://www.ncbi.nlm.nih.gov/pubmed/31157375","High_Unfavourable,Low_Unfavourable",NA,"NA","56956252","NA, ENSG00000184811","EFO_0000182","failed","failed biomarker,failed term"
"95","NA","NA","HEPATOCELLULAR CARCINOMA","TRMT6","expression",NA,"Patients",31128068,"Clinical Significance of TRMT6 in Hepatocellular Carcinoma: A Bioinformatics-Based Study.","TRMT6 was significantly upregulated in primary HCC tissues. Kaplan-Meier survival curves revealed that higher TRMT6 expression was associated with reduced RFS (p=0.0146) and OS (p=0.0224) in HCC patients. TRMT6 might be a promising prognostic biomarker for poor clinical outcomes in primary HCC patients.","https://www.ncbi.nlm.nih.gov/pubmed/31128068","High_Unfavourable",NA,"NA","56956252","ENSG00000089195","EFO_0000182","TRMT6 EXPRESSION NA","pass"
"96","NA","NA","CHOLANGIOCARCINOMA","EZH2,SUZ12","expression,expression",NA,"Patients",31126817,"Overexpression of polycomb repressive complex 2 key components EZH2/SUZ12/EED as an unfavorable prognostic marker in cholangiocarcinoma.","The expression of EZH2 and SUZ12 in CCA tissue was significantly higher than that in adjacent non-cancerous tissue . overexpression of the PRC2 key components especially EZH2 in both nucleus and cytoplasm can be potentially used as a prognostic marker for CCA.","https://www.ncbi.nlm.nih.gov/pubmed/31126817","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000106462, ENSG00000178691","EFO_0005221","failed","failed term"
"97","NA","NA","HEPATOCELLULAR CARCINOMA","ZNF207","protein expression",NA,"Patients",31113916,"Expression of ZNF207 in hepatocellular carcinoma and its significance.","patients with high ZNF207 expression had poorer overall survival (OS) and disease-free survival (DFS) than those with the low ZNF207 expression (P<0.01), and ZNF207 was an independent risk factor for OS and DFS of HCC","https://www.ncbi.nlm.nih.gov/pubmed/31113916","High_Unfavourable",NA,"NA","56956252","ENSG00000010244","EFO_0000182","ZNF207 PROTEIN EXPRESSION NA","pass"
"98","NA","NA","HEPATOCELLULAR CARCINOMA","SPG20","methylation",NA,"Patient tissues",31109594,"Aberrant methylation status of SPG20 promoter in hepatocellular carcinoma: A potential tumor metastasis biomarker.","hypermethylation status of SPG20 gene promoter is significantly associated with intra-hepatic metastasis and contribute to HCC metastasis","https://www.ncbi.nlm.nih.gov/pubmed/31109594","High_Unfavourable",NA,"NA","56956252","ENSG00000133104","EFO_0000182","SPG20 METHYLATION NA","pass"
"99","NA","NA","HBV-HEPATOCELLULAR CARCINOMA","LINC01152","RNA",NA,"cells,tissues,mouse",31054511,"HBx-related long non-coding RNA 01152 promotes cell proliferation and survival by IL-23 in hepatocellular carcinoma.","The overexpression of LINC01152 could increases HCC cell proliferation and promotes tumor formation in nude mice. Our findings suggest that LINC01152 plays an important role in HBV-related hepatocellular carcinoma development and may serve as a therapeutic marker for hepatocellular carcinoma.","https://www.ncbi.nlm.nih.gov/pubmed/31054511","High_Unfavourable",NA,"NA","56956252","ENSG00000256124","EFO_0000707","LINC01152 RNA NA","pass"
"100","NA","NA","INTRAHEPATIC CHOLANGIOCARCINOMA","R132xIDH1m","mutation",NA,"Patient, tissues",30935002,"Assessment of a High Sensitivity Method for Identification of IDH1 R132x Mutations in Tumors and Plasma of Intrahepatic Cholangiocarcinoma Patients.","Hotspot codon 132 mutations (R132xIDH1m) are frequent in intrahepatic cholangiocarcinoma (ICC), are druggable by anti-IDH1m agents, and could represent a marker of disease progression.","https://www.ncbi.nlm.nih.gov/pubmed/30935002",NA,NA,"NA","56956252","NA","EFO_1001961","R132XIDH1M MUTATION NA","failed biomarker"
"101","SORAFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","AR,epCAM","expression,expression",NA,NA,32132025,"Androgen Receptor Enhances the Efficacy of Sorafenib Against Hepatocellular Carcinoma Through Enriched EpCAM Stemness.","AR+/EpCAM+ may be a marker of responsiveness to sorafenib for patients with HCC. EpCAM+ cells were significantly reduced in AR-knockout mice compared to wild-type HCCs.Regarding sorafenib cytotoxicity, AR-expressing cells were vulnerable to treatment.","https://www.ncbi.nlm.nih.gov/pubmed/32132025","High_Unfavourable,High_Unfavourable",NA,"DB00398","406563","ENSG00000169083, ENSG00000119888","EFO_0000182","failed","failed term"
"102","NA","NA","LIVER CANCER","miR-18a , miR-25","RNA,RNA",NA,"Patients",32051807,"Role of miR-18a and miR-25 disruption and its mechanistic pattern in progression of liver cancer.","biopsy samples from liver cancer patients indicated that both miR-18a and miR-25 were overexpressed during the early stages of liver cancer. Our findings clearly indicate that miR-18a and miR-25 can be used as prognostic biomarkers for early-stage liver cancer.","https://www.ncbi.nlm.nih.gov/pubmed/32051807","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","NA, NA","MONDO_0002691","failed","failed biomarker,failed term"
"103","NA","NA","HEPATOCELLULAR CARCINOMA","RAB34","DNA copy/protein expression",NA,"Patients",29048615,"Overexpression of RAB34 correlates with poor prognosis and tumor progression in hepatocellular carcinoma.","both DNA copy and protein level of RAB34 were upregulating in human hepatocellular carcinoma (HCC) tissues when compared with that in adjacent tissues. patients with overexpression of RAB34 consistently had large tumor size, vessel invasion and poor tumor grade. Furthermore, overall survival analysis showed that patients with upregulated expression of RAB34 were associated with poor prognosis.","https://www.ncbi.nlm.nih.gov/pubmed/29048615","High_Unfavourable",NA,"NA","56956252","ENSG00000109113","EFO_0000182","RAB34 DNA COPY/PROTEIN EXPRESSION NA","pass"
"104","NA","NA","HEPATOCELLULAR CARCINOMA","LINC00473 , FOXP1,miR-345-5p","RNA,Protein,RNA",NA,"celline",32021265,"High Expression B3GAT3 Is Related with Poor Prognosis of Liver Cancer.","LINC00473 contributed to radioresistance in HCC via modulating the miR-345-5p/FOXP1 axis, which might provide a promising diagnostic marker for HCC radiotherapy. Depletion of LINC00473 inhibited proliferation and heightened radiosensitivity and apoptosis in HCC cells. LINC00473 and FOXP1 were up-regulated, while miR-345-5p was down-regulated in HCC tissues and cells.","https://www.ncbi.nlm.nih.gov/pubmed/32021265","High_Unfavourable,High_Unfavourable,Low_Unfavourable",NA,"NA","56956252","NA, ENSG00000114861, NA","EFO_0000182","failed","failed biomarker,failed term"
"105","NA","NA","HEPATOCELLULAR CARCINOMA","CD44, musashi1","expression,protein expression",NA,"celline",31888604,"Upregulation of musashi1 increases malignancy of hepatocellular carcinoma via the Wnt/β-catenin signaling pathway and predicts a poor prognosis.","Upregulation of musashi1 could enhance malignant development of HCC cells and thus might be a novel marker for HCC therapy.  there was a positive correlation between CD44 and musashi1 expression.","https://www.ncbi.nlm.nih.gov/pubmed/31888604","High_Unfavourable,High_Unfavourable",NA,"NA","56956252","ENSG00000026508, NA","EFO_0000182","failed","failed term"
"106","NA","NA","HEPATOCELLULAR CARCINOMA","c-Met","expression",NA,"tissues",31846974,"Expression of c-Met in Primary and Recurrent Hepatocellular Carcinoma.","High expression of c-Met may be a prognostic factor for a good, rather than a poor, HCC prognosis.","https://www.ncbi.nlm.nih.gov/pubmed/31846974","High_favourable",NA,"NA","56956252","ENSG00000105976","EFO_0000182","C-MET EXPRESSION NA","pass"
"107","NA","NA","HEPATOCELLULAR CARCINOMA","P-glycoprotein","protein expression",NA,"Patients",8763260,"Expression of P-glycoprotein in hepatocellular carcinoma: a potential marker of prognosis.","Expression of P-glycoprotein in HCCs is associated with a shorter disease-free interval and shorter survival time.","https://www.ncbi.nlm.nih.gov/pubmed/8763260","Postive unfavourable",NA,"NA","56956252","ENSG00000005471","EFO_0000182","P-GLYCOPROTEIN PROTEIN EXPRESSION NA","pass"
"108","NA","NA","HEPATOCELLULAR CARCINOMA","TGM3","expression",NA,"Patients",31822388,"TGM3 promotes epithelial-mesenchymal transition and hepatocellular carcinogenesis and predicts poor prognosis for patients after curative resection.","TGM3 potentially enhances HCC metastasis. TGM3 may serve as a novel therapeutic target in HCC. Higher expression of TGM3 predicts poor prognosis in HCC patients. TGM3 knockdown led to decreased HCC cell proliferation, invasion, and xenograft tumour growth.","https://www.ncbi.nlm.nih.gov/pubmed/31822388","High_Unfavourable",NA,"NA","56956252","ENSG00000125780","EFO_0000182","TGM3 EXPRESSION NA","pass"
"109","NA","NA","HEPATOCELLULAR CARCINOMA","nm23-H1","expression",NA,"Patients",7530600,"NM23-H1 and NM23-H2 messenger RNA abundance in human hepatocellular carcinoma.","nm23-H1 mRNA abundance may be a predictor of intrahepatic metastasis, the most important factor correlated with the metastatic potential of hepatocellular carcinoma.","https://www.ncbi.nlm.nih.gov/pubmed/7530600",NA,NA,"NA","56956252","ENSG00000239672","EFO_0000182","NM23-H1 EXPRESSION NA","pass"
"110","NA","NA","HEPATOCELLULAR CARCINOMA","CD15","protein expression",NA,"Patients",7685236,"Expression of the CD15 antigen in hepatocellular carcinoma.","CD15-positive HCC had histologic intrahepatic metastasis more often than did CD15-negative HCC. The survival rate of patients with CD15-negative HCC was better than that of patients with CD15-positive HCC,","https://www.ncbi.nlm.nih.gov/pubmed/7685236","Postive unfavourable",NA,"NA","56956252","ENSG00000177697","EFO_0000182","CD15 PROTEIN EXPRESSION NA","pass"
"111","NA","NA","HEPATOCELLULAR CARCINOMA","Ki67, c-met protooncogene","expression,protein expression",NA,"Patients",7768498,"Overexpression of c-met protooncogene product and raised Ki67 index in hepatocellular carcinomas with respect to benign liver conditions.","The percentage of Ki67+ nuclei in high-grade HCCs paralleled c-met protooncogene overexpression.","https://www.ncbi.nlm.nih.gov/pubmed/7768498","Postive unfavourable, High unfavourable",NA,"NA","56956252","ENSG00000148773, NA","EFO_0000182","failed","failed term"
"112","NA","NA","HEPATOCELLULAR CARCINOMA","CD80","gene expression",NA,"celline",9141426,"Expression of costimulatory molecules B7-1 (CD80) and B7-2 (CD86) on human hepatocellular carcinoma.","the primary cytolytic activity against parental Hep3B cells could be induced effectively by B71-transfected Hep3B cells. B7-1 gene transfer is the best way to induce strong expression of this molecule and this might be useful for immuno-gene therapy against human HCC.","https://www.ncbi.nlm.nih.gov/pubmed/9141426","Positive unfavourable",NA,"NA","56956252","ENSG00000121594","EFO_0000182","CD80 GENE EXPRESSION NA","pass"
"113","NA","NA","HEPATOCELLULAR CARCINOMA","ANXA3","expression",NA,"tissues",24375474,"Annexin A3 promotes tumorigenesis and resistance to chemotherapy in hepatocellular carcinoma.","ANXA3 might play an important role in HCC progression and chemoresistance, and could serve as a novel prognostic marker and therapeutic target for HCC.","https://www.ncbi.nlm.nih.gov/pubmed/24375474","High_Unfavourable",NA,"NA","56956252","ENSG00000138772","EFO_0000182","ANXA3 EXPRESSION NA","pass"
"114","SOREFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","pERK,VEGFR-2","expression,expression",NA,"Patients",25559745,"Expression of pERK and VEGFR-2 in advanced hepatocellular carcinoma and resistance to sorafenib treatment.","Elevated tissue expression of pERK and VEGFR-2 was predictive of poor outcome in advanced HCC treated with sorafenib.","https://www.ncbi.nlm.nih.gov/pubmed/25559745",NA,NA,"NA","NA","ENSG00000172071, ENSG00000128052","EFO_0000182","failed","failed drug,failed term"
"115","NA","NA","HEPATOCELLULAR CARCINOMA","UBE4B","expression",NA,"celline",25557723,"Expression and prognostic role of ubiquitination factor E4B in primary hepatocellular carcinoma.","UBE4B might have an oncogenic role in human primary HCC, and that it could be used as a prognostic marker (as well as a potential molecular target) for the treatment of HCC. Amplified expression of UBE4B was highly correlated with poor outcome.","https://www.ncbi.nlm.nih.gov/pubmed/25557723","High_Unfavourable",NA,"NA","56956252","ENSG00000130939","EFO_0000182","UBE4B EXPRESSION NA","pass"
"116","NA","NA","HEPATOCELLULAR CARCINOMA","FVII","expression",NA,"tissues",27551480,"Factor VII promotes hepatocellular carcinoma progression through ERK-TSC signaling","FVII expression in HCC may be useful as a prognostic indicator in patients with HCC","https://www.ncbi.nlm.nih.gov/pubmed/27551480","High_Unfavourable",NA,"NA","56956252","ENSG00000057593","EFO_0000182","FVII EXPRESSION NA","pass"
"117","NA","NA","HEPATOCELLULAR CARCINOMA","miR-744","expression",NA,"Patient, tissues",25543521,"miR-744 is a potential prognostic marker in patients with hepatocellular carcinoma.","associate decreased miR-744 expression with HCC recurrence and prognosis, and also suggest that miR-744 is an independent predictor of survival in HCC patients after LT and may therefore be a potential biomarker for their prognosis. Patients with lower miR-744 expression showed significantly poorer recurrence-free survival and OS than individuals with higher miR-744 levels.","https://www.ncbi.nlm.nih.gov/pubmed/25543521","Low_Unfavourable",NA,"NA","56956252","NA","EFO_0000182","MIR-744 EXPRESSION NA","failed biomarker"
"118","SORAFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","PD1, CXCR4","expression,expression",NA,"mouse",25529917,"CXCR4 inhibition in tumor microenvironment facilitates anti-programmed death receptor-1 immunotherapy in sorafenib-treated hepatocellular carcinoma in mice.","Anti-PD-1 treatment can boost antitumor immune responses in HCC models; when used in combination with sorafenib, anti-PD-1 immunotherapy shows efficacy only with concomitant targeting of the hypoxic and immunosuppressive microenvironment with agents such as CXCR4 inhibitors.","https://www.ncbi.nlm.nih.gov/pubmed/25529917","High_Unfavourable,High_Unfavourable",NA,"DB00398","406563","ENSG00000145335, ENSG00000121966","EFO_0000182","failed","failed term"
"119","NA","NA","HEPATOCELLULAR CARCINOMA","TLR4","expression",NA,"cellline,mouse",25511737,"Toll like receptor 4 facilitates invasion and migration as a cancer stem cell marker in hepatocellular carcinoma.","TLR4 may act as a CSC marker, prompting tumor invasion and migration, which contributes to the poor prognosis of HCC.","https://www.ncbi.nlm.nih.gov/pubmed/25511737","High_Unfavourable",NA,"NA","56956252","ENSG00000136869","EFO_0000182","TLR4 EXPRESSION NA","pass"
"120","NA","NA","HEPATOCELLULAR CARCINOMA","MCT4","expression",NA,"Patient tissues,Celllines",25446815,"Monocarboxylate transporter 4 predicts poor prognosis in hepatocellular carcinoma and is associated with cell proliferation and migration.","high MCT4 expression is indicative of elevated alpha fetoprotein levels and larger tumor size, which leads to poorer disease-free survival (DFS) and overall survival (OS).","https://www.ncbi.nlm.nih.gov/pubmed/25446815","High_Unfavourable",NA,"NA","56956252","ENSG00000141526","EFO_0000182","MCT4 EXPRESSION NA","pass"
"121","YM155","Survivin","HEPATOCELLULAR CARCINOMA","Survivin","expression",NA,"Patient tissues,Celllines",25714025,"The over-expression of survivin enhances the chemotherapeutic efficacy of YM155 in human hepatocellular carcinoma.","results clearly demonstrated that the level of survivin and p-survivin expression could serve as molecular predictive biomarkers to select potential YM155-responsive patients, in a move towards delivering precision medicine for HCC patients.","https://www.ncbi.nlm.nih.gov/pubmed/25714025","High_Unfavourable",NA,"NA","11178236","ENSG00000089685","EFO_0000182","SURVIVIN EXPRESSION NA","pass"
"122","NA","NA","HEPATOCELLULAR CARCINOMA","CD90,CXCR4","expression,expression",NA,"celline",25672610,"Evidence of CD90+CXCR4+ cells as circulating tumor stem cells in hepatocellular carcinoma.","CD90+CXCR4+ HCC cells may be CTSCs and selective elimination of these cells may substantially improve the current HCC therapy by","https://www.ncbi.nlm.nih.gov/pubmed/25672610","Positive unfavourable, Positive unfavourable",NA,"NA","56956252","ENSG00000154096, ENSG00000121966","EFO_0000182","failed","failed term"
"123","NA","NA","HEPATOCELLULAR CARCINOMA","Kindlin-1","RNA/protein expression",NA,"Patient tissues",25592379,"Expression of Kindlin-1 in human hepatocellular carcinoma and its prognostic significance.","Kindlin-1 expression was higher in HCC tumor tissues relative to that in adjacent normal tissue at the both mRNA and protein levels. our data suggest that Kindlin-1 could play an important role in HCC and might serve as a promising prognostic marker and potential target for HCC therapy","https://www.ncbi.nlm.nih.gov/pubmed/25592379","High_Unfavourable",NA,"NA","56956252","ENSG00000101311","EFO_0000182","KINDLIN-1 RNA/PROTEIN EXPRESSION NA","pass"
"124","NA","ADAM8","HEPATOCELLULAR CARCINOMA","ADAM8","expression",NA,"Mouse",25585999,"The important role of ADAM8 in the progression of hepatocellular carcinoma induced by diethylnitrosamine in mice.","Anti-ADAM8 mAb intervention might be suitable as a potential method for HCC therapy.","https://www.ncbi.nlm.nih.gov/pubmed/25585999","High_Unfavourable",NA,"NA","56956252","ENSG00000151651","EFO_0000182","ADAM8 EXPRESSION NA","pass"
"125","NA","NA","HEPATOCELLULAR CARCINOMA","SQLE","expression",NA,"NA",25787749,"Squalene epoxidase (SQLE) promotes the growth and migration of the hepatocellular carcinoma cells.","overexpression of SQLE in HCC cells promoted cell proliferation and migration, while downregulation of SQLE inhibited the tumorigenicity of HCC cells in vitro and in vivo","https://www.ncbi.nlm.nih.gov/pubmed/25787749","High_Unfavourable",NA,"NA","56956252","ENSG00000104549","EFO_0000182","SQLE EXPRESSION NA","pass"
"126","ASTEMIZOLE","Eag1","HEPATOCELLULAR CARCINOMA","Eag1","expression",NA,"celline",25783527,"Astemizole-based anticancer therapy for hepatocellular carcinoma (HCC), and Eag1 channels as potential early-stage markers of HCC.","Astemizole might have clinical utility for HCC prevention and treatment, and Eag1 channels may be potential early HCC biomarkers","https://www.ncbi.nlm.nih.gov/pubmed/25783527","High_Unfavourable",NA,"DB00637","2247","ENSG00000143473","EFO_0000182","EAG1 EXPRESSION NA","pass"
"127","NA","NA","HEPATOCELLULAR CARCINOMA","VEGF","serum-level",NA,"patients",25862879,"VEGF in patients with advanced hepatocellular carcinoma receiving intra-arterial chemotherapy.","Monitoring the serum VEGF level is useful for predicting the response of aHCC to HAIC, as well as for predicting metastasis, tumor type and vascular invasion.","https://www.ncbi.nlm.nih.gov/pubmed/25862879","High_Unfavourable",NA,"NA","56956252","ENSG00000112715","EFO_0000182","VEGF SERUM-LEVEL NA","pass"
"128","NA","NA","HEPATOCELLULAR CARCINOMA","FGFR2","expression",NA,"Patients",25834803,"Fibroblast growth factor receptor isotype expression and its association with overall survival in patients with hepatocellular carcinoma.","FGFR2 expression in HCC could be a prognostic indicator of postsurgical survival. FGFR2 positivity in HCC was associated with a significantly shorter overall survival","https://www.ncbi.nlm.nih.gov/pubmed/25834803","High_Unfavourable",NA,"NA","56956252","ENSG00000066468","EFO_0000182","FGFR2 EXPRESSION NA","pass"
"129","NA","NA","HEPATOCELLULAR CARCINOMA","FOXF2","expression",NA,"celllines,patients",25824262,"Loss of FOXF2 Expression Predicts Poor Prognosis in Hepatocellular Carcinoma Patients.","FOXF2 may serve as a prognostic biomarker for HCC and may be a promising target in the treatment of patients with HCC. FOXF2 downregulation was observed in HCC tissues (p < 0.001) compared with peritumorous tissues, and its expression levels were closely correlated with overall survival and recurrence-free survival","https://www.ncbi.nlm.nih.gov/pubmed/25824262","Low_Unfavourable",NA,"NA","56956252","ENSG00000137273","EFO_0000182","FOXF2 EXPRESSION NA","pass"
"130","NA","NA","HEPATOCELLULAR CARCINOMA","SAMSN1","expression",NA,"Patient tissues,Celllines",25805236,"Suppression of SAMSN1 Expression is Associated with the Malignant Phenotype of Hepatocellular Carcinoma.","inhibition of SAMSN1 transcription through DNA hypermethylation may influence the progression of HCC and thus represent a novel biomarker of the phenotype of HCC cells. levels of SAMSN1 mRNA in HCC tissues inversely correlated with tumor size. SAMSN1 was expressed at significantly lower levels in tumor tissue compared with the corresponding noncancerous tissues of patients with HCC.","https://www.ncbi.nlm.nih.gov/pubmed/25805236","Low_Unfavourable",NA,"NA","56956252","ENSG00000155307","EFO_0000182","SAMSN1 EXPRESSION NA","pass"
"131","NA","NA","HEPATOCELLULAR CARCINOMA","PKM2","expression",NA,"Patient tissues,Celllines",25788265,"Pyruvate kinase M2 prevents apoptosis via modulating Bim stability and associates with poor outcome in hepatocellular carcinoma.","PKM2 serves as a promising biomarker for poor prognosis of patients with HCC and its knockdown induces HCC apoptosis by stabilizing Bim. The knockdown of PKM2 in HCC cells inhibited cell proliferation and induced apoptosis in vitro and in vivo.","https://www.ncbi.nlm.nih.gov/pubmed/25788265","High_Unfavourable",NA,"NA","56956252","ENSG00000067225","EFO_0000182","PKM2 EXPRESSION NA","pass"
"132","NA","NA","CHOLANGIOCARCINOMA","Fascin","expression",NA,"celline",25882880,"Fascin Overexpression Promotes Cholangiocarcinoma RBE Cell Proliferation, Migration, and Invasion.","study provides evidence for fascin as a potential target in the treatment of cholangiocarcinoma.","https://www.ncbi.nlm.nih.gov/pubmed/25882880","High_Unfavourable",NA,"NA","56956252","ENSG00000186765","EFO_0005221","FASCIN EXPRESSION NA","pass"
"133","NA","NA","HEPATOCELLULAR CARCINOMA","PTMA","expression",NA,"Patient tissues",25865690,"Expression of prothymosin alpha predicts early recurrence and poor prognosis of hepatocellular carcinoma.","PTMA protein expression might be a novel predictor of early recurrence and RFS in HCC patients, e PTMA could be used as an immunohistochemical biomarker to detect patients with a high risk of recurrence.","https://www.ncbi.nlm.nih.gov/pubmed/25865690","Positive unfavourable",NA,"NA","56956252","ENSG00000187514","EFO_0000182","PTMA EXPRESSION NA","pass"
"134","NA","NA","HEPATOCELLULAR CARCINOMA","GPC3","expression",NA,"Patient tissues",25865688,"Prognostic value of glypican-3 in patients with HBV-associated hepatocellular carcinoma after liver transplantation.","GPC-3 is a potential biomarker for poor prognosis after LT in HCC patients with HBV-associated cirrhosis.","https://www.ncbi.nlm.nih.gov/pubmed/25865688","High_Unfavourable",NA,"NA","56956252","ENSG00000147257","EFO_0000182","GPC3 EXPRESSION NA","pass"
"135","NA","NA","HEPATOCELLULAR CARCINOMA","K19","expression",NA,"cellines,tissues",26011233,"Keratin 19 protein expression is an independent predictor of survival in human hepatocellular carcinoma.","Our study confirms the prognostic significance of K19 expression in Caucasian patients with HCCs, providing further evidence that it may be used to stratify HCC according to tumour aggressiveness. K19 positivity and microvascular invasion were found to be associated with decreased recurrence-free survival (P<0.001 and P=0.004, respectively) and overall survival","https://www.ncbi.nlm.nih.gov/pubmed/26011233","Positive unfavourable",NA,"NA","56956252","ENSG00000171345","EFO_0000182","K19 EXPRESSION NA","pass"
"136","NA","NA","HEPATOCELLULAR CARCINOMA","miR-212,FOXA1","RNA,expression",NA,"celline",25965836,"MicroRNA-212 suppresses tumor growth of human hepatocellular carcinoma by targeting FOXA1","miR-212 may serve as a prognostic indicator for HCC patients and exerts tumor suppressive role, at least in part, by inhibiting FOXA1. miR-212 inhibited tumor growth of HCC via suppressing proliferation and inducing apoptosis. Furthermore, we confirmed that Forkhead box protein A1 (FOXA1) was a direct target of miR-212, and it abrogated the function of miR-212 in HCC.","https://www.ncbi.nlm.nih.gov/pubmed/25965836","High_favourable,High_Unfavourable",NA,"NA","56956252","NA, ENSG00000129514","EFO_0000182","failed","failed biomarker,failed term"
"137","SOREFENIB","Multikinase","HEPATOCELLULAR CARCINOMA","TGFB1","expression",NA,"celline",25977342,"High Serum Transforming Growth Factor-β1 Levels Predict Outcome in Hepatocellular Carcinoma Patients Treated with Sorafenib.","In preclinical models of HCC, higher TGF-β1 expression levels were associated with poorer sensitivity to sorafenib.","https://www.ncbi.nlm.nih.gov/pubmed/25977342","High_Unfavourable",NA,"NA","NA","ENSG00000105329","EFO_0000182","TGFB1 EXPRESSION NA","failed drug"
"138","NA","NA","HEPATOCELLULAR CARCINOMA","AEG-1","expression",NA,"Mouse",26035424,"The emerging role of astrocyte-elevated gene-1 in hepatocellular carcinoma (Review).","AEG-1 in HCC, indicating its key roles and potential as a biomarker or significant target for the therapy of HCC.","https://www.ncbi.nlm.nih.gov/pubmed/26035424","High_Unfavourable",NA,"NA","56956252","ENSG00000147649","EFO_0000182","AEG-1 EXPRESSION NA","pass"
"139","NA","NA","HEPATOCELLULAR CARCINOMA","MiR-20a","expression",NA,"Patient tissues",26031366,"MiR-20a Induces Cell Radioresistance by Activating the PTEN/PI3K/Akt Signaling Pathway in Hepatocellular Carcinoma.","MiR-20a induces HCC cell radioresistance by activating the PTEN/PI3K/Akt pathway, which suggests that miR-20a/PTEN/PI3K/Akt might represent a target of investigation for developing effective therapeutic strategies against HCC.","https://www.ncbi.nlm.nih.gov/pubmed/26031366","High_Unfavourable",NA,"NA","56956252","NA","EFO_0000182","MIR-20A EXPRESSION NA","failed biomarker"
"140","NA","NA","HEPATOCELLULAR CARCINOMA","ANXA2","expression",NA,"Patient tissues",26109000,"Up-regulation of annexin A2 expression predicates advanced clinicopathological features and poor prognosis in hepatocellular carcinoma.","ANXA2 up-regulation might represent an acquired metastasis phenotype of HCC, help to screen out high-risk population for HCC, or more effectively treat a subset of postsurgical HCC patients positive for ANXA2.","https://www.ncbi.nlm.nih.gov/pubmed/26109000","High_Unfavourable",NA,"NA","56956252","ENSG00000182718","EFO_0000182","ANXA2 EXPRESSION NA","pass"
"141","NA","NA","HEPATOCELLULAR CARCINOMA","PCAT-1","expression",NA,"Patient tissues",26097602,"Prognostic significance of long non-coding RNA PCAT-1 expression in human hepatocellular carcinoma.","increased expression of PCAT-1 was associated with advanced clinical parameters and poor overall survival of HCC patients, indicating that PCAT-1 up-regulation may serve as a novel biomarker of poor prognosis in HCC patients.","https://www.ncbi.nlm.nih.gov/pubmed/26097602","High_Unfavourable",NA,"NA","56956252","ENSG00000253438","EFO_0000182","PCAT-1 EXPRESSION NA","pass"
"142","NA","NA","HEPATOCELLULAR CARCINOMA","MAGE-A3, MAGE-A4 ,NY-ESO-1","expression,expression,expression",NA,"Patient tissues",26097535,"Combined cancer testis antigens enhanced prediction accuracy for prognosis of patients with hepatocellular carcinoma.","The combinatorial expression of CTAs-A3/A4/NY mRNA promotes the predictive accuracy of HCC recurrence and itself may be a potential target for immunotherapy of HCC as well.","https://www.ncbi.nlm.nih.gov/pubmed/26097535","High_Unfavourable,High_Unfavourable,High_Unfavourable",NA,"NA","56956252","NA, NA, ENSG00000184033","EFO_0000182","failed","failed biomarker,failed term"
"143","NA","NA","HEPATOCELLULAR CARCINOMA","TMPRSS4","expression",NA,"Patient tissues",26190376,"TMPRSS4 facilitates epithelial-mesenchymal transition of hepatocellular carcinoma and is a predictive marker for poor prognosis of patients after curative resection.","increase of TMPRSS4 expression may be a key event for HCC progression and may be regarded as a potential prognostic marker for HCC.","https://www.ncbi.nlm.nih.gov/pubmed/26190376","High_Unfavourable",NA,"NA","56956252","ENSG00000137648","EFO_0000182","TMPRSS4 EXPRESSION NA","pass"
