"","...1","Disease","Enrichment.biomarker","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Drug","Targets","Study.Phase..comparator.","Clinical.State.and.treatment.setting","Primary.End.Point","clinicaltrials.gov.reference","Raw.Text","annotator","STATUS","validator","URL","sheet","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"374",374,"TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, negative, negative","AND, AND","Protein expression, protein expression, protein expression","TQB2450, ANLOTINIB HYDROCHIORIDE","PDL1, UNK","I","Second Line","Overall Response Rate(ORR)","NCT03855358","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03855358",1,"NA,NA","NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","failed drug"
"375",375,"EARLY STAGE OR LOCALLY ADVANCED BREAST CANCER","ERBB2, ESR1, PGR","Positive, negative/positive, negative/positive","AND, AND","protein expression&amplification/protein expression, protein expression, protein expression","PYROTINIB, TRASTUZUMAB, VINORELBINE","HER1/HER2, UNK, UNK","UNK","First Line","Objective Response Rate","NCT03947242","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03947242",1,"DB14993,DB00072,DB00361","51039030, 3001322, 5311497","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","pass"
"376",376,"EARLY STAGE OR LOCALLY ADVANCED BREAST CANCER","ERBB2","Positive","NA","protein expression&amplification/protein expression","PYROTINIB, TRASTUZUMAB, DOCETAXEL, CARBOPLATIN","UNK, UNK, UNK, UNK","UNK","First Line","Percentage of Participants With Pathological Complete Response","NCT03847818","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03847818",1,"DB14993,DB00072,DB01248,DB00958","51039030, 3001322, 148124, 56840877","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","pass"
"377",377,"LOCALLY ADVANCED","ERBB2, ESR1","Positive, negative/positive","AND","protein expression&amplification/protein expression, protein expression","DOCETAXEL, ATEZOLIZUMAB, TRASTUZUMAB SC, PERTUZUMAB, DOXORUBICIN, CYCLOPHOSPHAMIDE, HERCEPTIN SC","UNK, UNK, UNK, UNK, UNK, UNK, UNK","I/II","First Line","Pathologic CR(pCR) rate of neo-adjuvant chemotherapy","NCT03881878","Patients with locally advanced breast cancer (T2-3N0-3), Patients with early breast cancer with high-risk (T1cN1), Patients with locally advanced inflammatory breast cancer","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03881878",1,"DB01248,DB11595,NA,DB06366,DB00997,DB00531,NA","148124, NA, NA, NA, 443939, 2907, NA","ENSG00000141736, ENSG00000091831","EFO_0005856","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE","pass"
"378",378,"METASTATIC BREAST CANCER","ERBB2, ESR1, PGR","Positive, negative/positive, negative/positive","AND, AND/OR","Protein expression, protein expression, protein expression","TUCATINIB, T-DM1","UNK, UNK","III","Advanced, Second line","Progression-free survival (PFS) per Response Evaluation Criteria in Solid Tumors (RECIST) v1.1 by investigator assessment","NCT03975647","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03975647",1,"DB11652,DB05773","51039094, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","pass"
"379",379,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, negative, negative","AND, AND","Protein expression, protein expression, protein expression","SPARTALIZUMAB, LAG525, NIR178, CAPMATINIB, MCS110, CANAKINUMAB","UNK, UNK, UNK, UNK, UNK, UNK","I","Advanced, Second line","Incidence of Adverse Events (AEs) and Serious Adverse Events (SAEs) as a measure of safety, Severity of Adverse Events (AEs) and Serious Adverse Events (SAEs) as a measure of safety, Incidence of dose limiting toxicities (DLTs) of treatment, Frequency of dose interuptions, Frequency of dose reductions, Dose intensities","NCT03742349","Different treatment arms, all had the same biomarkers","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03742349",1,"DB14892,NA,NA,DB11791,NA,DB06168","NA, NA, NA, 25145656, NA, NA","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"380",380,"INVASIVE BREAST CANCER","ERBB2, ESR1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein expression, protein expression, protein expression","TAMOXIFEN CITRATE","aromatase","II","First Line","Ten year breast cancer free interval, Ten year contralateral breast cancer incidence","NCT03917082","Must be older than 50 at diagnosis","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03917082",1,"NA","2733525","ENSG00000141736, ENSG00000091831, ENSG00000082175","EFO_1000307","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"381",381,"EARLY OR LOCALLY ADVANCED INVASICE BREAST CANCER","ERBB2","Positive","NA","protein expression&amplification","SIBP-01, DOCETAXEL, CARBOPLATIN","UNK, UNK, UNK","III","First Line","Total pathologic complete response (tpCR","NCT03989037","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03989037",1,"NA,DB01248,DB00958","NA, 148124, 56840877","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE","failed drug"
"382",382,"BREAST CANCER","NA","NA","NA","NA","DOCETAXEL, EPIRUBICIN, CYCLOPHOSPHAMIDE, HUMAN RECOMBIANT ENOSTATIN","UNK, UNK, UNK","II/III","First Line","Clinical/pathological response","NCT01907529","no biomarkers noted","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT01907529",1,"DB01248,DB00445,DB00531,NA","148124, 65348, 2907, NA","ENSG00000183023","MONDO_0007254","NA NA NA","pass"
"383",383,"METASTATIC BREAST CANCER","ERBB2","negative","NA","protein expression","NAVELBINE","UNK","II","Advanced, Second line","Disease Control Rate","NCT03854617","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03854617",1,"NA","5311497","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"384",384,"TRIPLE NEGATIVE BREAST CANCER","ERBB2, ESR1, PGR, BRCA1, BRCA2","Negative, Negative, Negative, Positive, Positive","AND, AND, AND, AND/OR","Protein Expression, Protein expression, Protein expression, Mutation, Mutation","CARBOPLATIN, PACLITAXEL","UNK, UNK","III","First line","3-year disease-free survival","NCT03876886","complete tumor removal by either modified radical mastectomy or local excision plus axillary lymph node dissection","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03876886",1,"DB00958,DB01229","56840877, 36314","ENSG00000141736, ENSG00000091831, ENSG00000082175, ENSG00000012048, ENSG00000139618","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE","pass"
"385",385,"TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","BERZOSERTIB","ATR Kinase","I","Second line","Recommended phase II dose of ATR kinase inhibitor M6620","NCT04052555","must be done with radiation therapy","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04052555",1,"DB11794","59472121","ENSG00000141736, NA, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"386",386,"BREAST CANCER","ERBB2, ERS1, PGR","Negative, Positive, Positive","AND, AND","Protein Expression, Protein expression, Protein expression","BERZOSERTIB","ATR Kinase","I","Second line","Recommended phase II dose of ATR kinase inhibitor M6620","NCT04052555","must be done with radiation therapy","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04052555",1,"DB11794","59472121","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE","pass"
"387",387,"LOCALLY RECURRENT OR METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR, BRCA1, BRCA2","Negative, Negative, Negative, Negative, Negative","AND, AND, AND, AND","Protein Expression, Protein expression, Protein expression, Mutation, Mutation","ERYASPASE, GEMCITABINE, CARBOPLATIN","UNK, UNK, UNK","II/III","Advanced, First line","Objective response rate (ORR) ","NCT03674242","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03674242",1,"NA,DB00441,DB00958","NA, 60750, 56840877","ENSG00000141736, NA, ENSG00000082175, ENSG00000012048, ENSG00000139618","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND BRCA1 MUTATION NEGATIVE AND BRCA2 MUTATION NEGATIVE","failed drug"
"388",388,"LUMINAL B BREAST CANCER","ERBB2, ERS1, Ki67, PDL1","Negative, Positive, Negative/Positive, Positive","AND, AND, AND","Protein Expression, Protein expression, Protein expression, Protein Expression","OLECLUMAB, DURVALUMAB","CD73, PDL1","II","First line","Safety Run-in: Immune related or radiation therapy related toxicity of special interest, Safety Run-in: Primary surgery, Phase II: Tumour response in arms 2 or 3 versus arm 1","NCT03875573","Confirmed Mammaprint genomic high risk score according to central testing (Ki67 >20%). Different arms with different drugs, all combined with radiotherapy. The trial called for a phase I ""saftey check"" with 6 participants, but did not lay out the biomarkers for that phase. It seemed that all would have the same biomarkers","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03875573",1,"DB15088,DB11714","NA, NA","ENSG00000141736, NA, ENSG00000148773, ENSG00000120217","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND KI67 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND PDL1 PROTEIN EXPRESSION POSITIVE","pass"
"389",389,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","CARBOPLATIN, IPATASERTIB, PACLITAXEL","UNK, UNK, UNK","I/II","Advanced, Second Line","Recommended phase II dose (RP2D) of ipatasertib (Phase I), Progression-free survival (PFS) (Phase II)","NCT03853707","different experimental groups with the same biomarkers","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03853707",1,"DB00958,DB11743,DB01229","56840877, 24788740, 36314","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"390",390,"ADVANCED BREAST CANCER","ERBB2, ERS1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein expression, Protein expression","PALBOCICLIB, ENDOCRINE THERAPY","UNK, UNK","II","Advanced, First line","PFS (Progression-free survival)","NCT03809988","endocrine therapy is letrozole or fulvestrant","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03809988",1,"DB09073,NA","11478676, NA","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"391",391,"LOCALLY ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","CAPIVASERTIB, PACLITAXEL","UNK, UNK","III","Advanced, Second Line","Progression-Free Survival (PFS), Overall Survival (OS) ","NCT03997123","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03997123",1,"DB12218,DB01229","25227436, 36314","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"392",392,"EARLY BREAST CANCER","ERBB2, ERS1, PGR","Positive, Negative/Positive, Negative/Positive","AND, AND/OR","Protein Expression, Protein expression, Protein expression","DOXORUBICIN LIPOSOME, CYCLOPHOSPHAMIDE, TRASTUZUMAB, DOCETAXEL","UNK, UNK, UNK, UNK","II","First line","Pathological Complete Response rate (pCR)","NCT04172259","HR status just needed to be known","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04172259",1,"NA,DB00531,DB00072,DB01248","NA, 2907, 3001322, 148124","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","failed drug"
"393",393,"METASTATIC BREAST CANCER","ERBB2, ERS1, PGR, AR, PTEN","Negative,Positive,Positive, Positive, Positive","AND, AND/OR, AND, AND","Protein Expression, Protein expression, Protein expression, Protein Expression, Mutation","ALPELISIB, ENZALUTAMIDE","Phosphoinositide 3-kinase, UNK","I","Advanced, Second Line","Maximum tolerated dose (MTD) of alpelisib in combination with enzalutamide","NCT03207529","AR positivity is defined as >= 1% of nuclear staining","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03207529",1,"DB12015,DB08899","56649450, 15951529","ENSG00000141736, NA, ENSG00000082175, ENSG00000169083, ENSG00000171862","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE AND AR PROTEIN EXPRESSION POSITIVE AND PTEN MUTATION POSITIVE","pass"
"394",394,"METASTATIC BREAST CANCER","ERBB2, ERS1, PGR, AR, PTEN","Negative, Negative, Negative, Positive, Positive","AND, AND/OR, AND, AND","Protein Expression, Protein expression, Protein expression, Protein Expression, Mutation","ALPELISIB, ENZALUTAMIDE","Phosphoinositide 3-kinase, UNK","I","Advanced, Second Line","Maximum tolerated dose (MTD) of alpelisib in combination with enzalutamide","NCT03207529","AR positivity is defined as >= 1% of nuclear staining","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03207529",1,"DB12015,DB08899","56649450, 15951529","ENSG00000141736, NA, ENSG00000082175, ENSG00000169083, ENSG00000171862","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE AND AR PROTEIN EXPRESSION POSITIVE AND PTEN MUTATION POSITIVE","pass"
"395",395,"METASTATIC BREAST CANCER","ERBB2, ERS1, PGR","Negative, Positive, Positive","AND, AND/OR","Protein Expression, Protein expression, Protein expression","IPATASERTIB, RUCAPARIB","UNK, UNK","I","Advanced, Second Line","Percentage of Participants with Adverse Events, Percentage of Participants with Dose-Limiting Toxicities (DLTs) that Determine the Maximum-Tolerated Dose (MTD) of the Ipatasertib and Rucaparib Combination, Percentage of Participants with Prostate-Specific Antigen (PSA) Response","NCT03840200","Included other cancers, but had the specific breast cancer trial specifically explained","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03840200",1,"DB11743,DB12332","24788740, 9931954","ENSG00000141736, NA, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"396",396,"METASTATIC BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND/OR","Protein Expression, Protein expression, Protein expression","IPATASERTIB, RUCAPARIB","UNK, UNK","I","Advanced, Second Line","Percentage of Participants with Adverse Events, Percentage of Participants with Dose-Limiting Toxicities (DLTs) that Determine the Maximum-Tolerated Dose (MTD) of the Ipatasertib and Rucaparib Combination, Percentage of Participants with Prostate-Specific Antigen (PSA) Response","NCT03840200","Included other cancers, but had the specific breast cancer trial specifically explained","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03840200",1,"DB11743,DB12332","24788740, 9931954","ENSG00000141736, NA, ENSG00000082175","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE","pass"
"397",397,"ADVANCED BREAST CANCER","ERBB2, ERS1, PGR, PTEN, PIK3CA","Positive, Negative/Positive, Negative/Positive, Positive, Positive","AND, AND, AND, AND","Protein expression&amplification, Protein Expression, Protein expression, Mutation, Mutation","PERTUZUMAB, TRASTUZUMAB, COPANLISIB","UNK, ERBB2, UNK","I/II","Advanced, First line","Incidence of adverse events and serious adverse events (Phase Ib), Incidence of dose limiting toxicities (DLTs) (Phase Ib), Progression-free survival (PFS) (Phase II)","NCT04108858","PHASE IB/SAFETY RUN-IN ONLY: Molecular biomarker selection will not be mandated, did select for phase II","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT04108858",1,"DB06366,DB00072,DB12483","NA, 3001322, 135565785","ENSG00000141736, NA, ENSG00000082175, ENSG00000171862, ENSG00000121879","MONDO_0007254","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE AND PTEN MUTATION POSITIVE AND PIK3CA MUTATION POSITIVE","pass"
"398",398,"METASTATIC OR LOCOREGIONALLY RECCURENT BREAST CANCER","ERBB2","Negative","NA","Protein Expression","PACLITAXEL, TALIMOGENE LAHERPAREPVEC","UNK, UNK","I","Advanced, Second Line","Distribution for the maximum observed grade for each adverse event of talimogene laherparepvec in both arms, Maximum tolerated volume defined as the highest volume (up to 4mL) that results in ≤ 1 dose limiting toxicity in 6 treated patients for each treatment cohort","NCT03554044","had different cohorts with different drug combinations, depending upon biomarkers","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03554044",1,"DB01229,DB13896","36314, NA","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"399",399,"METASTATIC OR LOCOREGIONALLY RECCURENT BREAST CANCER","ERBB2, ERS1","Negative, Positive","AND","Protein Expression, Protein Expression","TAMOXIFEN, TALIMOGENE LAHERPAREPVEC, LETROZOLE, FULVESTRANT, EXEMESTANE, ANASTROZOLE","UNK, UNK, UNK, UNK, UNK, UNK","I","Advanced, Second Line","Distribution for the maximum observed grade for each adverse event of talimogene laherparepvec in both arms, Maximum tolerated volume defined as the highest volume (up to 4mL) that results in ≤ 1 dose limiting toxicity in 6 treated patients for each treatment cohort","NCT03554044","had different cohorts with different drug combinations, depending upon biomarkers","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03554044",1,"DB00675,DB13896,DB01006,DB00947,DB00990,DB01217","2733526, NA, 3902, 104741, 60198, 2187","ENSG00000141736, NA","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE","pass"
"400",400,"METASTATIC BREAST CANCER","ERBB2, ERS1, PIK3CA, PTEN","Negative, Positive, Negative/Positive, Negative/Positive","AND, AND, AND","Protein Expression, Protein Expression, Mutation, Mutation","COPANLISIB, FULVESTRANT","PI3K, UNK","I/II","Advanced, Second Line","Dose limiting toxicity (DLT)","NCT03803761","post menopausal only","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03803761",1,"DB12483,DB00947","135565785, 104741","ENSG00000141736, NA, ENSG00000121879, ENSG00000171862","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND PIK3CA MUTATION NEGATIVE/POSITIVE AND PTEN MUTATION NEGATIVE/POSITIVE","pass"
"401",401,"STAGE IV TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","AVELUMAB, BINIMETINIB, PF-04518600, UTOMILUMAB","UNK, UNK, OX40, UNK","II","Advanced, Second Line","Best Overall Response Rate (BORR) Assessed by Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1","NCT03971409","different experimental groups with the same biomarkers","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03971409",1,"DB11945,DB11967,NA,DB15113","NA, 10288191, NA, NA","ENSG00000141736, NA, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"402",402,"ADVANCED INVASIVE BREAST CANCER","ERBB2, ERS1, PGR","Positive, Positive, Positive","AND, AND/OR","Protein Expression, Protein expression, Protein expression","PYROTINIB, TRASTUZUMAB, AROMATASE INHIBITORS","UNK, UNK, Aromatase","II","Advanced, First line","Progression-Free Survival (PFS)","NCT04088110","aromatase inhibitors include : anastrozole, letrozole or exemestane","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04088110",1,"DB14993,DB00072,NA","51039030, 3001322, NA","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"403",403,"ADVANCED BREAST CANCER","ERBB2, ERS1","Negative, Positive","AND","Protein Expression, Protein Expression","ODM-209","UNK","I/II","Advanced, Second Line","Maximum tolerated dose (MTD) ","NCT03878823","drug is co-administered with glucocorticoid and mineralocorticoid. Different cancers are treated in this trial. However, BC has a separate cohort and specific biomarkes","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03878823",1,"NA","NA","ENSG00000141736, NA","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE","failed drug"
"404",404,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","LEFLUNOMIDE","dihydroorotate dehydrogenase","I/II","Advanced, Second Line","Maximum Tolerated Dose (MTD), Clinical Benefit Rate (CBR)","NCT03709446","NA","TVV","NA","NA","https://ClinicalTrials.gov/show/NCT03709446",1,"DB01097","3899","ENSG00000141736, NA, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"405",405,"METASTATIC TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR, PDL1","Negative, Negative, Negative, Negative/positive","AND, AND, AND","Protein Expression, Protein expression, Protein expression, protein expression","TESETAXEL, NIVOLUMAB, PEMBROLIZUMAB, ATEZOLIZUMAB","UNK, UNK, UNK, UNK","II","Advanced, First line","Cohort 1: ORR , Cohort 1: PFS, Cohort 2: ORR","NCT03952325","Cohorts are separated by age and biomarkers","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03952325",1,"DB12019,DB09035,DB09037,DB11595","6918574, NA, NA, NA","ENSG00000141736, NA, ENSG00000082175, ENSG00000120217","MONDO_0007254","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND PDL1 PROTEIN EXPRESSION NEGATIVE/POSITIVE","pass"
"406",406,"METASTATIC BREAST CANCER","ERBB2","Negative","NA","Protein Expression","TESETAXEL","UNK, UNK, UNK, UNK","II","Advanced, First line","Cohort 1: ORR , Cohort 1: PFS, Cohort 2: ORR","NCT03952325","Cohorts are separated by age and biomarkers","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03952325",1,"DB12019","6918574","ENSG00000141736","EFO_1000984","ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"407",407,"BREAST DUCTAL CARCINOMA IN SITU","BRCA1, BRCA2, ESR1","Negative, Negative, Positive","AND, AND","Mutation, Mutation, Protein Expression","TAMOXIFEN","UNK","III","First line","Breast tumor recurrence","NCT04046159","was compared to radiotherapy, must be newly diagnosed","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04046159",1,"DB00675","2733526","ENSG00000012048, ENSG00000139618, ENSG00000091831","EFO_0000432","BRCA1 MUTATION NEGATIVE AND BRCA2 MUTATION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"408",408,"EARLY STAGE TRIPLE NEGATIVE BREAST CANCER","ERBB2, ERS1, PGR","Negative, Negative, Negative","AND, AND","Protein Expression, Protein expression, Protein expression","CELECOXIB, CYCLOPHOSPHAMIDE, DOXORUBICIN, DOXORUBICIN HYDROCHLORIDE, PACLITAXEL, RECOMBINANT INTERFERON ALFA-2B, RINTATOLIMOD","UNK, UNK, UNK, UNK, UNK, UNK, UNK","I","First line","Tumor-infiltrating CD8+ cytotoxic T lymphocyte (CTL)s pre-treatment vs post-treatment","NCT04081389","chemokine modulation therapy","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT04081389",1,"DB00482,DB00531,DB00997,NA,DB01229,NA,NA","2662, 2907, 443939, 443939, 36314, NA, 135537060","ENSG00000141736, NA, ENSG00000082175","EFO_0005537","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","pass"
"409",409,"METASTATIC BREAST CANCER","ERBB2, ERS1, PGR, PDL1","Positive, Negative/Positive, Negative/Positive, Positive","AND, AND, AND","Protein expression&amplification, Protein Expression, Protein expression, protein expression","ATEZOLIZUMAB, PACLITAXEL, PERTUZUMAB, TRASTUZUMAB","UNK, UNK, UNK, ERBB2","III","Advanced, Second Line","Progression free survival ","NCT03199885","NA","TVV","NA","NA","https://clinicaltrials.gov/ct2/show/NCT03199885",1,"DB11595,DB01229,DB06366,DB00072","NA, 36314, NA, 3001322","ENSG00000141736, NA, ENSG00000082175, ENSG00000120217","EFO_1000984","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE AND PDL1 PROTEIN EXPRESSION POSITIVE","pass"
