"","drug","drug_drugbank_standard","drug_pubchem","biomarker","biomarker_ensembl_standard","biomarker_type","biomarker_direction","biomarker_relations","biomarker_description","disease","diseases_id_standard","drug_targets","QC","curator","raw_table","source","source_id","record_id"
"176","PYROTINIB, ALBUMIN-BOUND PACLITAXEL, TRASTUZUMAB, EPRIRUBICIN, CYCLOPHOSPHAMIDE","DB14993,NA,DB00072,NA,DB00531","51039030, NA, 3001322, NA, 2907","ERBB2","ENSG00000141736","Protein Expression &Amplification/Protein Expression","Positive",NA,"ERBB2 PROTEIN EXPRESSION &AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","Breast Cancer (I-III)","MONDO_0007254","ERBB2, GP60/Bcl2, ERBB2, Topoisomerase II/DNA, DNA","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04066790","BiomarkerKG-103720969"
"181","LETROZOLE, PYROTINIB, SHR6390","DB01006,DB14993,NA","3902, 51039030, NA","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","Protein Expression & Amplification/Protein Expression, Protein Expression, Protein Expression","Positive, Positive, Positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Metastatic Breast Cancer","EFO_1000984","Aromatase, ERBB2, CDK4/CDK6","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03772353","BiomarkerKG471505800"
"182","CAPECITABINE","DB01101","60953","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","Protein Expression, Protein expression, Protein Expression","Negative, Positive/Negative, Positive/Negative","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PR PROTEIN EXPRESSION POSITIVE/NEGATIVE","Non-metastatic Invasive Breast Cancer","MONDO_0007254","DNA/RNA/Protein Synthesis","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03958721","BiomarkerKG-2133494385"
"183","DOCETAXEL, CYCLOPHOSPHAMIDE, TRASTUZUMAB","DB01248,DB00531,DB00072","148124, 2907, 3001322","ERBB2","ENSG00000141736","Protein Expression","Positive",NA,"ERBB2 PROTEIN EXPRESSION POSITIVE","Breast Neoplasms","MONDO_0007254","microtubles/VEGF, DNA, ERBB2","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03705429","BiomarkerKG-435072881"
"184","PYROTINIB","DB14993","51039030","ERBB2","ENSG00000141736","Protein Expression","Positive",NA,"ERBB2 PROTEIN EXPRESSION POSITIVE","Breast Cancer (IIA-III)","MONDO_0007254","ERBB2","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04126525","BiomarkerKG-1504794440"
"185","SAR439859",NA,"130232326","ERBB2, ESR1","ENSG00000141736, ENSG00000091831","Protein Expression, Protein Expression","Negative, Positive","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Locally Advanced or Metastatic Breast Cancer","MONDO_0007254","ESR1","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03816839","BiomarkerKG1596444665"
"186","CAPECITABINE","DB01101","60953","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","Protein Expression, Protein expression, Protein Expression","Negative, Positive, Positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Breast Cancer","MONDO_0007254","DNA/RNA/Protein Synthesis","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03638648","BiomarkerKG-2133494385"
"187","IPATASERTIB, PALBOCICLIB, FULVESTRANT","DB11743,DB09073,DB00947","24788740, 11431660, 104741","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","Protein Expression, Protein expression, Protein Expression","Negative, Positive, Positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Locally Advanced Unresectable or Metastatic Breast Cancer","MONDO_0007254","Akt, CDK4/CDK6, ER","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04060862","BiomarkerKG668649648"
"188","ERIBULIN, BALIXAFORTIDE","DB08871,DB15370","11354606, 138752609","ERBB2","ENSG00000141736","Protein Expression","Negative",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","Locally Recurrent or Metastatic Breast Cancer","MONDO_0007254","UNK, UNK","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03786094","BiomarkerKG1503939067"
"190","VENETOCLAX, PALBOCICLIB, LETROZOLE","DB11581,DB09073,DB01006","49846579, 11431660, 3902","ESR1, Bcl2, ERBB2","ENSG00000091831, ENSG00000171791, ENSG00000141736","Protein Expression, Protein expression, Protein Expression","Positive, Positive, Positive","AND, AND/OR","ESR1 PROTEIN EXPRESSION POSITIVE AND BCL2 PROTEIN EXPRESSION POSITIVE AND/OR ERBB2 PROTEIN EXPRESSION POSITIVE","Locally advanced or metastatic breast cancer","MONDO_0007254","UNK, CDK4/CDK6, aromatase","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03900884","BiomarkerKG-2032842044"
"192","ATEZOLIZUMAB, DOXORUBICIN, CYCLOPHOSPHAMIDE, PACLITAXEL, PERTUZUMAB, TRASTUZUMAB EMTANSINE","DB11595,DB00997,DB00531,DB01229,DB06366,DB05773","NA, 443939, 2907, 36314, NA, NA","ERBB2, ESR1, PR, PDL1","ENSG00000141736, ENSG00000091831, ENSG00000134551, ENSG00000120217","Protein Expression, Protein expression, Protein Expression, Protein expression","Positive, Positive/Negative, Positive/Negative, Positive/Negative","AND, AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PDL1 PROTEIN EXPRESSION POSITIVE/NEGATIVE","Breast Cancer (I-III)","MONDO_0007254","UNK, UNK, UNK, UNK, UNK, UNK","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03726879","BiomarkerKG1511175762"
"193","FS-1502",NA,"2760428","ERBB2","ENSG00000141736","Protein Expression & Amplification/Protein Expression","Positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","Locally advanced or metastatic breast cancer","MONDO_0007254","ERBB2","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03944499","BiomarkerKG1623818552"
"195","ALL-TRANS RETINOIC ACID, ANASTROZOLE","NA,DB01217","444795, 2187","ESR1, ERBB2, Ki67","ENSG00000091831, ENSG00000141736, ENSG00000148773","Protein Expression, Protein expression, Protein Expression","Positive, Negative, Positive","AND, AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","Breast Neoplasm","EFO_0003869","RARα, UNK","pass","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04113863","BiomarkerKG-1795461556"
"197","BAVITUXIMAB, SORAFENIB","DB05136,DB00398","NA, 406563","AFP","ENSG00000081051","Protein Expression","Positive",NA,"AFP PROTEIN EXPRESSION POSITIVE","Locally Advanced or Metastatic Hepatocellular Carinoma","EFO_0009709","UNK/UNK","pass","Austin","Livercancer2010_2011.xlsx","clinicaltrials.gov","NCT01264705","BiomarkerKG626426273"
"198","PD-0332991",NA,"5330286","RB","ENSG00000139687","Protein Expression","Positive",NA,"RB PROTEIN EXPRESSION POSITIVE","Advanced Hepatocellular Carcinoma","EFO_0009260","CDK4/CDK6","pass","Austin","Livercancer2010_2011.xlsx","clinicaltrials.gov","NCT01356628","BiomarkerKG-1504368928"
"204","EVEROLIMUS, PASIREOTIDE","DB01590,DB06663","6442177, 9941444","AFP","ENSG00000081051","Protein Expression","Positive",NA,"AFP PROTEIN EXPRESSION POSITIVE","Advanced or Metastatic Hepatocellular Carcinoma","EFO_0009260","UNK, UNK","pass","Austin","Livercancer2010_2011.xlsx","clinicaltrials.gov","NCT01488487","BiomarkerKG936726893"
"221","SORAFENIB TOSYLATE, VORINOSTAT","NA,DB02546","406563, 5311","AFP","ENSG00000081051","Protein Expression","Positive",NA,"AFP PROTEIN EXPRESSION POSITIVE","Advanced hepatocellular carcinoma","EFO_0009260",NA,"pass","Austin","Livercancer2010_2011.xlsx","clinicaltrials.gov","NCT01075113","BiomarkerKG1436097858"
