"record_id","drug","biomarker","biomarker_relations","biomarker_description","disease","curator","source","source_id"
"BiomarkerKG996483862","OLAPARIB, TRASTUZUMAB","BRCA1,BRCA2, ERBB2","AND/OR, AND","BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE AND ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE","RECURRENT OR METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03931551"
"BiomarkerKG-1884678499","ABEMACICLIB, FULVESTRANT","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT04031885"
"BiomarkerKG1863117410","PEMBROLIZUMAB","ESR1, PGR","AND/OR","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","STAGE IV METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03492918"
"BiomarkerKG289580844","PYROTINIB, VINORELBINE","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03997539"
"BiomarkerKG-2074888963","PALBOCICLIB, ENDOCRINE THERAPY","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","RECURRENT BREAST CANCER","TVV","clinicaltrials.gov","NCT03820830"
"BiomarkerKG1360761977","DURVALUMAB, ENDOCRINE THERAPY","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","BREAST CANCER","TVV","clinicaltrials.gov","NCT03874325"
"BiomarkerKG1586324685","LYNPARZA","BRCA1,BRCA2, ERBB2, ESR1, PGR","AND/OR, AND, AND, AND","BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT04041128"
"BiomarkerKG-1645794555","VINORELBINE, APATINIB","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","METASTATIC TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03932526"
"BiomarkerKG-1304175737","ABEMACICLIB, ANASTROZOLE, FULVESTRANT, LETROZOLE, PALBOCICLIB, RIBOCICLIB","ESR1, PGR","AND/OR","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT04256941"
"BiomarkerKG-1019298398","PACLITAXEL, NAB-PACLITAXEL, ATEZOLIZUMAB","ERBB2, ESR1, PGR, PDL1","AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND PDL1 PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT04148911"
"BiomarkerKG67951044","CARBOPLATIN, PACLITAXEL, DOXORUBICIN, CYCLOPHOSPHAMIDE","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT04083963"
"BiomarkerKG1857107666","NIRAPARIB","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03945721"
"BiomarkerKG735236579","CAMRELIZUMAB, NAB-PACLITAXEL, FAMITINIB","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","METASTATIC TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT04129996"
"BiomarkerKG-800369839","NAB-PACLITAXEL, EPIRUBICIN, CARBOPLATIN","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT04138719"
"BiomarkerKG-835107575","CRIZOTINIB, FULVESTRANT","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","ADVANCED BREAST CANCER","TVV","clinicaltrials.gov","NCT03620643"
"BiomarkerKG-293355652","PYROTINIB MALEATE, NAB-PACLITAXEL","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION&AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03919253"
"BiomarkerKG-1189924932","PEMBROLIZUMAB","ERBB2, APOBEC3B, ER","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND APOBEC3B MUTATION POSITIVE AND ER PROTEIN EXPRESSION NEGATIVE/POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03989089"
"BiomarkerKG-1632658776","PEMBROLIZUMAB, CARBOPLATIN, GEMCITABINE, OLAPARIB","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","METASTATIC TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT04191135"
"BiomarkerKG358990573","PYROTINIB, TRASTUZUMAB, VINORELBINE","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","EARLY STAGE OR LOCALLY ADVANCED BREAST CANCER","TVV","clinicaltrials.gov","NCT03947242"
"BiomarkerKG-1876496357","PYROTINIB, TRASTUZUMAB, DOCETAXEL, CARBOPLATIN","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION&AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","EARLY STAGE OR LOCALLY ADVANCED BREAST CANCER","TVV","clinicaltrials.gov","NCT03847818"
"BiomarkerKG-33556113","DOCETAXEL, ATEZOLIZUMAB, TRASTUZUMAB SC, PERTUZUMAB, DOXORUBICIN, CYCLOPHOSPHAMIDE, HERCEPTIN SC","ERBB2, ESR1","AND","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE","LOCALLY ADVANCED","TVV","clinicaltrials.gov","NCT03881878"
"BiomarkerKG-599028211","TUCATINIB, T-DM1","ERBB2, ESR1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03975647"
"BiomarkerKG1688452319","SPARTALIZUMAB, LAG525, NIR178, CAPMATINIB, MCS110, CANAKINUMAB","ERBB2, ESR1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","METASTATIC TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03742349"
"BiomarkerKG-453264115","CARBOPLATIN, PACLITAXEL","ERBB2, ESR1, PGR, BRCA1, BRCA2","AND, AND, AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE","TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03876886"
"BiomarkerKG-1503610555","BERZOSERTIB","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT04052555"
"BiomarkerKG179888471","OLECLUMAB, DURVALUMAB","ERBB2, ERS1, Ki67, PDL1","AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND KI67 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND PDL1 PROTEIN EXPRESSION POSITIVE","LUMINAL B BREAST CANCER","TVV","clinicaltrials.gov"," NCT03875573"
"BiomarkerKG1995732573","CARBOPLATIN, IPATASERTIB, PACLITAXEL","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","METASTATIC TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03853707"
"BiomarkerKG1739611934","PALBOCICLIB, ENDOCRINE THERAPY","ERBB2, ERS1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","ADVANCED BREAST CANCER","TVV","clinicaltrials.gov"," NCT03809988"
"BiomarkerKG-915701665","CAPIVASERTIB, PACLITAXEL","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","LOCALLY ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03997123"
"BiomarkerKG-689338926","ALPELISIB, ENZALUTAMIDE","ERBB2, ERS1, PGR, AR, PTEN","AND, AND/OR, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE AND AR PROTEIN EXPRESSION POSITIVE AND PTEN MUTATION POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03207529"
"BiomarkerKG-975392028","IPATASERTIB, RUCAPARIB","ERBB2, ERS1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03840200"
"BiomarkerKG2065001521","PERTUZUMAB, TRASTUZUMAB, COPANLISIB","ERBB2, ERS1, PGR, PTEN, PIK3CA","AND, AND, AND, AND","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE AND PTEN MUTATION POSITIVE AND PIK3CA MUTATION POSITIVE","ADVANCED BREAST CANCER","TVV","clinicaltrials.gov","NCT04108858"
"BiomarkerKG-170542798","PACLITAXEL, TALIMOGENE LAHERPAREPVEC","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","METASTATIC OR LOCOREGIONALLY RECCURENT BREAST CANCER","TVV","clinicaltrials.gov","NCT03554044"
"BiomarkerKG-743019303","TAMOXIFEN, TALIMOGENE LAHERPAREPVEC, LETROZOLE, FULVESTRANT, EXEMESTANE, ANASTROZOLE","ERBB2, ERS1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE","METASTATIC OR LOCOREGIONALLY RECCURENT BREAST CANCER","TVV","clinicaltrials.gov","NCT03554044"
"BiomarkerKG302277995","COPANLISIB, FULVESTRANT","ERBB2, ERS1, PIK3CA, PTEN","AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND PIK3CA MUTATION NEGATIVE/POSITIVE AND PTEN MUTATION NEGATIVE/POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03803761"
"BiomarkerKG-635888986","AVELUMAB, BINIMETINIB, PF-04518600, UTOMILUMAB","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","STAGE IV TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03971409"
"BiomarkerKG-544075815","PYROTINIB, TRASTUZUMAB, AROMATASE INHIBITORS","ERBB2, ERS1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION POSITIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","ADVANCED INVASIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT04088110"
"BiomarkerKG-820225238","LEFLUNOMIDE","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","METASTATIC TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03709446"
"BiomarkerKG-10442632","TESETAXEL, NIVOLUMAB, PEMBROLIZUMAB, ATEZOLIZUMAB","ERBB2, ERS1, PGR, PDL1","AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND PDL1 PROTEIN EXPRESSION NEGATIVE/POSITIVE","METASTATIC TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03952325"
"BiomarkerKG-1944338472","TESETAXEL","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03952325"
"BiomarkerKG-1575067713","TAMOXIFEN","BRCA1, BRCA2, ESR1","AND, AND","BRCA1 MUTATION NEGATIVE AND BRCA2 MUTATION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","BREAST DUCTAL CARCINOMA IN SITU","TVV","clinicaltrials.gov","NCT04046159"
"BiomarkerKG-1945881394","CELECOXIB, CYCLOPHOSPHAMIDE, DOXORUBICIN, DOXORUBICIN HYDROCHLORIDE, PACLITAXEL, RECOMBINANT INTERFERON ALFA-2B, RINTATOLIMOD","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","EARLY STAGE TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT04081389"
"BiomarkerKG-1955995515","ATEZOLIZUMAB, PACLITAXEL, PERTUZUMAB, TRASTUZUMAB","ERBB2, ERS1, PGR, PDL1","AND, AND, AND","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE AND PDL1 PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03199885"
"BiomarkerKG1825741352","CYCLOPHOSPHAMIDE, LYSO-THERMOSENSITIVE LIPOSOMAL DOXORUBICIN","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT03749850"
"BiomarkerKG156569843","ATORVASTATIN","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","STAGE IIB-III TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03872388"
"BiomarkerKG-179581873","IPILIMUMAB, NIVOLUMAB, TALIMOGENE LAHERPAREPVEC","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","LOCALIZED BREAST CANCER","TVV","clinicaltrials.gov","NCT04185311"
"BiomarkerKG-1062210253","IPILIMUMAB, NIVOLUMAB, TALIMOGENE LAHERPAREPVEC","ERBB2, ERS1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE","LOCALIZED BREAST CANCER","TVV","clinicaltrials.gov","NCT04185311"
"BiomarkerKG2095042473","PEMBROLIZUMAB, CYCLOPHOSPHAMIDE, GX-I7","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","REFRACTORY OR RELAPSED TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03752723"
"BiomarkerKG-1855863757","TRASTUZUMAB","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION POSITIVE","EARLY BREAST CANCER","TVV","clinicaltrials.gov","NCT04109391"
"BiomarkerKG1193506727","RUCAPARIB, SACITUZUMAB GOVITECAN","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","METASTATIC TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03992131"
"BiomarkerKG-563823741","PALBOCICLIB, LETROZOLE","ERBB2, ERS1, PGR, Ki67","AND, AND/OR, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE AND KI67 PROTEIN EXPRESSION POSITIVE","BREAST CANCER","TVV","clinicaltrials.gov","NCT04130152"
"BiomarkerKG1689293800","ATEZOLIZUMAB, G100","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","METASTATIC TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03915678"
"BiomarkerKG1323565151","TREMELIMUMAB, DURVALUMAB","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","METASTATIC TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03982173"
"BiomarkerKG3321966","CB-839, TALAZOPARIB","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","METASTATIC TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03875313"
"BiomarkerKG1410798894","IPATASERTIB, FULVESTRANT, LETROZOLE, PALBOCICLIB","ERBB2, ERS1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","LOCALLY ADVANCED BREAST CANCER","TVV","clinicaltrials.gov","NCT03959891"
"BiomarkerKG-37577398","TAMOXIFEN CITRATE, LETROZOLE, EXEMESTANE","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE","INVASIVE DUCTAL BREAST CANCER (STAGES I-III)","TVV","clinicaltrials.gov","NCT04129216"
"BiomarkerKG214156408","PERTUZUMAB, TRASTUZUMAB, PACLITAXEL, DOXORUBICIN, CYCLOPHOSPHAMIDE, DOCETAXEL, CARBOPLATIN, PEGFILGRASTIM","ERBB2, ERS1, PGR","AND, AND/OR","ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE/POSITIVE","LOCALLY ADVANCED BREAST CANCER","TVV","clinicaltrials.gov","NCT03329378"
"BiomarkerKG1059450097","DURVALUMAB, OLAPARIB, AZD6738","ERBB2, ERS1, PGR","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE","INVASIVE TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03740893"
"BiomarkerKG-1378819185","NIVOLUMAB, NAB-PACLITAXEL, IPILIMUMAB","ERBB2, ERS1","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE","METASTATIC BREAST CANCER","TVV","clinicaltrials.gov","NCT04132817"
"BiomarkerKG-323468877","FUTIBATINIB, FULVERSTRANT","ERBB2, ERS1, PGR, FGFR2","AND, AND/OR, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE AND FGFR2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE","LOCALLY ADVANCED BREAST CANCER","TVV","clinicaltrials.gov","NCT04024436"
"BiomarkerKG-1064188360","FUTIBATINIB","ERBB2, ERS1, PGR, FGFR2","AND, AND/OR, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND/OR PGR PROTEIN EXPRESSION NEGATIVE AND FGFR2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE","LOCALLY ADVANCED BREAST CANCER","TVV","clinicaltrials.gov","NCT04024436"
"BiomarkerKG-1254885361","FUTIBATINIB, FULVERSTRANT","ERBB2, ERS1, PGR, FGFR1","AND, AND/OR, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE AND FGFR1 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE","LOCALLY ADVANCED BREAST CANCER","TVV","clinicaltrials.gov","NCT04024436"
"BiomarkerKG-1702088471","GEDATOLISIB, TALAZOPARIB","ERBB2, ERS1, PGR, BRCA1, BRCA2","AND, AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ERS1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND BRCA1 MUTATION NEGATIVE AND BRCA2 MUTATION NEGATIVE","UNRESECTABLE TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03911973"
"BiomarkerKG535034914","GEDATOLISIB, TALAZOPARIB","ERBB2, BRCA1, BRCA2","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND BRCA1 MUTATION POSITIVE AND/OR BRCA2 MUTATION POSITIVE","UNRESECTABLE TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03911973"
"BiomarkerKG716117938","NAB-PACLITAXEL, CARBOPLATIN, HERCEPTIN","ERBB2",NA,"ERBB2 PROTEIN EXPRESSION&AMPLIFICATION POSITIVE","BREAST CANCER","TVV","clinicaltrials.gov","NCT03907800"
"BiomarkerKG107230865","NAB-PACLITAXEL, CARBOPLATIN, HERCEPTIN","ERBB2, BRCA1, BRCA2","AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND BRCA1 PROTEIN EXPRESSION NEGATIVE AND BRCA2 PROTEIN EXPRESSION NEGATIVE","TRIPLE NEGATIVE BREAST CANCER","TVV","clinicaltrials.gov","NCT03907800"
"BiomarkerKG2139946516","CYCLOPHOSPHAMIDE, CYTOKINE-BASED BIOLOGIC AGENT IRX-2, NIVOLUMAB","Absent",NA,"ABSENT NA NA","RECURRENT OR METASTATIC HEPATOCELLULAR CARCINOMA","ALV","clinicaltrials.gov","NCT03655002"
"BiomarkerKG-1142743362","ANLOTINIB HYDROCHLORIDE","Absent",NA,"ABSENT NA NA","ADVANCED HEPATOCELLULAR CARCINOMA","ALV","clinicaltrials.gov","NCT04213118"
"BiomarkerKG2027096547","COLCHICINE","AFP",NA,"AFP PROTEIN EXPRESSION POSITIVE","HEPATOCELLULAR CARCINOMA (IIIB-IV)","ALV","clinicaltrials.gov","NCT04264260"
"BiomarkerKG683286200","PRAVASTATIN","AFP",NA,"AFP PROTEIN EXPRESSION POSITIVE/NEGATIVE","HEPATOCELLULAR CARCINOMA","ALV","clinicaltrials.gov","NCT03219372"
"BiomarkerKG440468617","APATINIB","VEGF, AFP","AND","VEGF PROTEIN EXPRESSION POSITIVE AND AFP PROTEIN EXPRESSION POSITIVE","HEPATOCELLULAR CARCINOMA","ALV","clinicaltrials.gov","NCT03511703"
"BiomarkerKG329189688","ATG-008","HBV",NA,"HBV MISSING POSITIVE","ADVANCED UNRESECTABLE HEPATOCELLULAR CARCINOMA","ALV","clinicaltrials.gov","NCT03591965"
"BiomarkerKG1352760165","DERAZANTINIB","FGFR2",NA,"FGFR2 MUTATION/GENE FUSION/AMPLIFICATION POSITIVE","LOCALLY ADVANCED UNRESECTABLE OR METASTATIC COMBINED HEPATOCELLULAR-CHOLANGIOCARCINOMA, LOCALLY ADVANCED UNRESECTABLE OR METASTATIC INTRAHEPATIC CHOLANGIOCARCINOMA","ALV","clinicaltrials.gov","NCT03230318"
"BiomarkerKG1751026797","RAMUCIRUMAB, MEDI4736","AFP",NA,"AFP PROTEIN EXPRESSION POSITIVE","LOCALLY ADVANCED UNRESECTABLE OR METASTATIC HEPATOCELLULAR CARCINOMA","ALV","clinicaltrials.gov","NCT02572687"
"BiomarkerKG-1685288106","SORAFENIB","AFP",NA,"AFP PROTEIN EXPRESSION POSITIVE","HEPATOCELLULAR CARCINOMA","ALV","clinicaltrials.gov","NCT03178656"
"BiomarkerKG626426273","BAVITUXIMAB, SORAFENIB","AFP",NA,"AFP PROTEIN EXPRESSION POSITIVE","LOCALLY ADVANCED OR METASTATIC HEPATOCELLULAR CARINOMA","ALV","clinicaltrials.gov","NCT01264705"
"BiomarkerKG-1504368928","PD-0332991","RB",NA,"RB PROTEIN EXPRESSION POSITIVE","ADVANCED HEPATOCELLULAR CARCINOMA","ALV","clinicaltrials.gov","NCT01356628"
"BiomarkerKG-1815733615","LENALIDOMIDE","Absent",NA,"ABSENT NA NA","ADVANCED HEPATOCELLULAR CARCINOMA","ALV","clinicaltrials.gov","NCT01545804"
